,title,view,channel,uploadtime,length,link,subscriber,like,dislike
0,Nearly 200 people die in Italy in last 24 hours from coronavirus,531K views,ABC News,19 hours ago,4:14,https://www.youtube.com/watch?v=cZciLknWNsg,7.91M,"3,780",390
1,"Coronavirus Impacts Tom Hanks, the NBA and Monkeys in Thailand | The Daily Show",884K views,The Daily Show with Trevor Noah,10 hours ago,6:24,https://www.youtube.com/watch?v=4IlwdyacDZg,6.58M,"25,542",647
2,U.S. Ill Served By Trump's Repeated Lying About Coronavirus Response | Rachel Maddow | MSNBC,248K views,MSNBC,16 hours ago,2:47,https://www.youtube.com/watch?v=z77IdsapJqk,2.44M,"3,700","3,220"
3,Dana White updates UFC’s status during coronavirus outbreak | SportsCenter,266K views,ESPN MMA,20 hours ago,4:22,https://www.youtube.com/watch?v=YDXlSPu7Vy8,612K,"3,666",177
4,"LIVE: Coronavirus death toll, infections and recoveries",235K views,South China Morning Post,Streamed 12 hours ago,8:03:20,https://www.youtube.com/watch?v=3NTREAc1jTo,935K,"1,416",132
5,Trump declares National Emergency over coronavirus,436K views,Fox News,Streamed 1 hour ago,1:35:16,https://www.youtube.com/watch?v=G6HbxcCb-7g,4.48M,"14,763","1,179"
6,ER Doctor Explains What To Do If You Start Showing Coronavirus Symptoms | All In | MSNBC,136K views,MSNBC,20 hours ago,5:01,https://www.youtube.com/watch?v=unN8leCvHyM,2.44M,"1,345",162
7,"Coronavirus Pandemic Update 35: New Outbreaks & Travel Restrictions, Possible COVID-19 Treatments",391K views,MedCram - Medical Lectures Explained CLEARLY,1 day ago,10:27,https://www.youtube.com/watch?v=vE4_LsftNKM,594K,"8,003",151
8,Rudy Gobert apologizes for exposing others to coronavirus | SportsCenter,376K views,ESPN,21 hours ago,4:13,https://www.youtube.com/watch?v=Q2dss9pGShU,6.78M,"3,657",212
9,Coronavirus: Drastic measures in US & Europe as cases soar - BBC News,772K views,BBC News,22 hours ago,31:12,https://www.youtube.com/watch?v=M53iJduvDSA,6.58M,"6,253",577
10,Congress And Trump Admin. Scramble For Coronavirus Aid Deal As Pandemic Causes Panic | Nightly News,369K views,NBC News,21 hours ago,10:58,https://www.youtube.com/watch?v=X7ERdQYlq8I,2M,"2,697",272
11,Coronavirus Expert Dr. Fauci And CDC Head Dr. Redfield Testify Before House | NBC News (Live Stream),528K views,NBC News,Streamed 1 day ago,1:51:32,https://www.youtube.com/watch?v=h34z6hS52YM,2M,"3,877",514
