,title,view,channel,uploadtime,length,link,subscriber,like,dislike
0,"Coronavirus outbreak: WHO says ""Europe is now epicentre of pandemic"" | FULL",14K views,Global News,Streamed 2 hours ago,33:29,https://www.youtube.com/watch?v=eyntF-VqRBw,1.23M,868,444
1,"Disney theme parks, American landmarks close amid coronavirus l ABC News",13K views,ABC News,4 hours ago,4:20,https://www.youtube.com/watch?v=xGpew-tPga4,7.9M,415,63
2,Trump Plans To Declare National Emergency Over Coronavirus | Andrea Mitchell | MSNBC,15K views,MSNBC,2 hours ago,2:02,https://www.youtube.com/watch?v=zFHvra6KuAc,2.44M,"1,493",90
3,Rudy Gobert apologizes for exposing others to coronavirus | SportsCenter,347K views,ESPN,17 hours ago,4:13,https://www.youtube.com/watch?v=Q2dss9pGShU,6.78M,"3,558",201
4,Nearly 200 people die in Italy in last 24 hours from coronavirus,449K views,ABC News,16 hours ago,4:14,https://www.youtube.com/watch?v=cZciLknWNsg,7.9M,"3,380",345
5,Gov. DeWine says Ohio estimated to have over 100K cases of coronavirus,83K views,Fox News,4 hours ago,5:18,https://www.youtube.com/watch?v=HnjvX8oLBdo,4.48M,"1,669",621
6,Tom Hanks and Rita Wilson test positive for coronavirus,524K views,CNN,1 day ago,8:49,https://www.youtube.com/watch?v=Wbk8ZrfU3EM,8.75M,"5,238","1,060"
7,Let's talk about Coronavirus,1.7M views,Markiplier,20 hours ago,7:10,https://www.youtube.com/watch?v=VwsGzkLu-j0,25.1M,"244,031","3,449"
8,Coronavirus outbreak: Donald Trump suspends travel from Europe to U.S. starting Friday,318K views,Global News,Streamed 1 day ago,9:40,https://www.youtube.com/watch?v=X7KCyRxOoJw,1.23M,"3,619",726
9,Tracing The Origin Of The Coronavirus | NBC News NOW,269K views,NBC News,1 day ago,5:28,https://www.youtube.com/watch?v=mNB8zN5CQGc,1.99M,"2,259",259
10,"Tom Hanks, Rita Wilson Test Positive For Coronavirus | Rachel Maddow | MSNBC",306K views,MSNBC,1 day ago,1:11,https://www.youtube.com/watch?v=CCjBSvrT-SU,2.44M,"2,563",335
11,Anthony Fauci says novel coronavirus '10 times deadlier than the flu',490K views,ABC News,1 day ago,4:16,https://www.youtube.com/watch?v=dM74KiaksgM,7.9M,"3,729",439
12,Donald Trump addresses US on coronavirus - watch live,86K views,Guardian News,Streamed 1 day ago,8:58,https://www.youtube.com/watch?v=YR_Rgdkibdk,850K,869,316
13,Mark Cuban reacts to NBA suspending season due to coronavirus | NBA on ESPN,248K views,ESPN,1 day ago,3:17,https://www.youtube.com/watch?v=b2-wU42KJ0c,6.78M,"2,963",76
14,Coronavirus Test Shortage Raises Alarm As Washington State Bans Mass Gatherings | NBC Nightly News,350K views,NBC News,1 day ago,14:20,https://www.youtube.com/watch?v=JLZjUz9ZTn0,1.99M,"2,295",177
15,NBA suspends season due to coronavirus | SportsCenter,588K views,ESPN,1 day ago,4:52,https://www.youtube.com/watch?v=zNWBz4GCiUo,6.78M,"6,615",232
16,Trump Addresses The Nation On Coronavirus From Oval Office | NBC News (Live Stream Recording),1M views,NBC News,Streamed 1 day ago,17:25,https://www.youtube.com/watch?v=I09RkjLcFpU,1.99M,"6,376","2,647"
17,Bill de Blasio - Confronting the Coronavirus Outbreak in New York City | The Daily Show,980K views,The Daily Show with Trevor Noah,1 day ago,15:28,https://www.youtube.com/watch?v=aM2DZjsgAlA,6.58M,"14,899","2,340"
18,Infectious Disease Expert: Half Of America Is Likely To Catch Coronavirus | The 11th Hour | MSNBC,375K views,MSNBC,1 day ago,3:20,https://www.youtube.com/watch?v=7ajACc7ul4k,2.44M,"2,369",420
19,Trump Contradicts Experts as Coronavirus Is Declared a Pandemic: A Closer Look,2.3M views,Late Night with Seth Meyers,1 day ago,15:44,https://www.youtube.com/watch?v=7rMEA6KN_RU,3.5M,"35,563","1,714"
20,Coronavirus update: Wednesday 11 March | ITV News,326K views,ITV News,2 days ago,1:18,https://www.youtube.com/watch?v=0ovMBrJmbK8,439K,"2,172",238
21,Coronavirus Misinformation & Toilet Paper Panic | The Daily Show,2M views,The Daily Show with Trevor Noah,1 day ago,6:12,https://www.youtube.com/watch?v=Ls0ZormAOhU,6.58M,"47,744",926
22,Mike Breen Announces the NBA Suspended the Season Because of the Coronavirus,132K views,Bleacher Report,1 day ago,0:43,https://www.youtube.com/watch?v=Z9IfFHlTX-k,1.73M,"2,035",49
23,Trump suspends travel from Europe to battle coronavirus,560K views,Los Angeles Times,1 day ago,9:41,https://www.youtube.com/watch?v=KYVy_0yUSXM,275K,"7,937","1,416"
24,Mark Cuban on coronavirus: This is much bigger than basketball | NBA on ESPN,393K views,ESPN,1 day ago,6:23,https://www.youtube.com/watch?v=vUB5DST4z-E,6.78M,"4,850",135
25,President Trump addresses the nation on the coronavirus outbreak in the United States,386K views,ABC News,Streamed 1 day ago,1:00:33,https://www.youtube.com/watch?v=alMlYN0fK7s,7.9M,"2,531",684
26,Chris Hayes On How The U.S. Is On Italy's Coronavirus Trajectory | All In | MSNBC,262K views,MSNBC,1 day ago,6:34,https://www.youtube.com/watch?v=_-VxuZmEhV0,2.44M,"4,176",227
27,The 5 Stages of Coronavirus,1.7M views,Jimmy Kimmel Live,1 day ago,11:37,https://www.youtube.com/watch?v=mD97kJVCOXM,16.4M,"28,151","1,687"
28,Italy on lockdown over coronavirus l ABC News,390K views,ABC News,1 day ago,6:19,https://www.youtube.com/watch?v=l5twUq9iPSE,7.9M,"2,536",197
29,Trump proposes economic changes over coronavirus l ABC News,98K views,ABC News,1 day ago,8:41,https://www.youtube.com/watch?v=AOeHMFC8U1c,7.9M,477,233
30,Coronavirus outbreak: Justin Trudeau addresses his wife's COVID-19 diagnosis | FULL,7.6K views,Global News,Streamed 1 hour ago,52:54,https://www.youtube.com/watch?v=SjEgtT98jqk,1.23M,703,407
31,Coronavirus: Virus cases rise rapidly in Europe and US - BBC News,1.1M views,BBC News,2 days ago,8:30,https://www.youtube.com/watch?v=DoHOYCbmJoE,6.58M,"8,393",725
32,Coronavirus Is Our Future | Alanna Shaikh | TEDxSMU,2.5M views,TEDx Talks,2 days ago,16:46,https://www.youtube.com/watch?v=Fqw-9yMV0sI,23.5M,"82,431","5,183"
33,Third person in UK dies from coronavirus as cases rise to 273 | ITV News,216K views,ITV News,4 days ago,2:51,https://www.youtube.com/watch?v=DmTcMya-3fI,439K,"1,072",212
34,BREAKING: NBA suspends season after Rudy Gobert tests positive for coronavirus | CBS Sports HQ,430K views,CBS Sports,1 day ago,8:04,https://www.youtube.com/watch?v=WfOuA-Rq_4Y,241K,"3,175",203
35,Treasury likely to push back tax deadline due to coronavirus,217K views,CBS News,2 days ago,3:05,https://www.youtube.com/watch?v=0d0AziuNgi8,2.4M,"1,079",235
36,The NBA should be commended for its quick action on coronavirus - Rachel Nichols | SportsCenter,166K views,ESPN,1 day ago,4:47,https://www.youtube.com/watch?v=2cjv2lQZN34,6.78M,"2,025",156
37,Coronavirus outbreak: Countries react after COVID-19 declared a global pandemic,148K views,Global News,1 day ago,8:02,https://www.youtube.com/watch?v=fGuUh-BmnvI,1.23M,926,75
38,Coronavirus: Should the UK quarantine like Italy? - BBC,433K views,BBC,2 days ago,7:00,https://www.youtube.com/watch?v=_zlwWDS-DCs,8.16M,"3,961",392
39,Daily Life Is Changing For Millions Of Americans As Coronavirus Crisis Grows,2.6M views,The Late Show with Stephen Colbert,1 day ago,11:40,https://www.youtube.com/watch?v=lk0sQEhrY5U,7.25M,"37,054","1,232"
40,Washington state braces for thousands of potential coronavirus cases,136K views,CBS This Morning,2 days ago,2:48,https://www.youtube.com/watch?v=j6HSjsGVwrc,1.24M,596,152
