,title,view,channel,uploadtime,length,link,subscriber,like,dislike
0,Coronavirus: Do UK measures go far enough?,76K views,Sky News,4 hours ago,3:44,https://www.youtube.com/watch?v=2N-Vbz_HJt0,1.88M,"1,442",781
1,Nearly 200 people die in Italy in last 24 hours from coronavirus,371K views,ABC News,13 hours ago,4:14,https://www.youtube.com/watch?v=cZciLknWNsg,7.9M,"2,944",313
2,"Trump’s Coronavirus Address, Blooper Reel Included | The Daily Show",1.3M views,The Daily Show with Trevor Noah,12 hours ago,9:23,https://www.youtube.com/watch?v=BWO6i8cH8SA,6.57M,"41,137","1,470"
3,Top health official on US response to coronavirus pandemic,227K views,ABC News,14 hours ago,8:19,https://www.youtube.com/watch?v=9qZehXrLq6g,7.9M,"1,835",211
4,Congress And Trump Admin. Scramble For Coronavirus Aid Deal As Pandemic Causes Panic | Nightly News,331K views,NBC News,15 hours ago,10:58,https://www.youtube.com/watch?v=X7ERdQYlq8I,1.99M,"2,415",216
5,Rudy Gobert apologizes for exposing others to coronavirus | SportsCenter,310K views,ESPN,14 hours ago,4:13,https://www.youtube.com/watch?v=Q2dss9pGShU,6.78M,"3,400",185
6,"Tom Hanks, Rita Wilson Test Positive For Coronavirus | Rachel Maddow | MSNBC",300K views,MSNBC,1 day ago,1:11,https://www.youtube.com/watch?v=CCjBSvrT-SU,2.44M,"2,510",321
7,Tracing The Origin Of The Coronavirus | NBC News NOW,242K views,NBC News,1 day ago,5:28,https://www.youtube.com/watch?v=mNB8zN5CQGc,1.99M,"2,077",246
8,Anthony Fauci says novel coronavirus '10 times deadlier than the flu',469K views,ABC News,1 day ago,4:16,https://www.youtube.com/watch?v=dM74KiaksgM,7.9M,"3,641",430
9,Mark Cuban reacts to NBA suspending season due to coronavirus | NBA on ESPN,248K views,ESPN,1 day ago,3:17,https://www.youtube.com/watch?v=b2-wU42KJ0c,6.78M,"2,947",75
10,Coronavirus Test Shortage Raises Alarm As Washington State Bans Mass Gatherings | NBC Nightly News,349K views,NBC News,1 day ago,14:20,https://www.youtube.com/watch?v=JLZjUz9ZTn0,1.99M,"2,283",177
11,NBA suspends season due to coronavirus | SportsCenter,584K views,ESPN,1 day ago,4:52,https://www.youtube.com/watch?v=zNWBz4GCiUo,6.78M,"6,602",231
12,South Korea Sees Decline In Coronavirus Cases After Mass Testing | NBC News NOW,157K views,NBC News,1 day ago,4:02,https://www.youtube.com/watch?v=1T0rVrC73Bs,1.99M,"2,697",66
13,Trump Addresses The Nation On Coronavirus From Oval Office | NBC News (Live Stream Recording),998K views,NBC News,Streamed 1 day ago,17:25,https://www.youtube.com/watch?v=I09RkjLcFpU,1.99M,"6,290","2,604"
14,Bill de Blasio - Confronting the Coronavirus Outbreak in New York City | The Daily Show,955K views,The Daily Show with Trevor Noah,1 day ago,15:28,https://www.youtube.com/watch?v=aM2DZjsgAlA,6.57M,"14,609","2,290"
15,Let's talk about Coronavirus,1.5M views,Markiplier,17 hours ago,7:10,https://www.youtube.com/watch?v=VwsGzkLu-j0,25.1M,"229,085","2,792"
16,Trump Contradicts Experts as Coronavirus Is Declared a Pandemic: A Closer Look,2.3M views,Late Night with Seth Meyers,1 day ago,15:44,https://www.youtube.com/watch?v=7rMEA6KN_RU,3.5M,"35,301","1,700"
17,Infectious Disease Expert: Half Of America Is Likely To Catch Coronavirus | The 11th Hour | MSNBC,363K views,MSNBC,1 day ago,3:20,https://www.youtube.com/watch?v=7ajACc7ul4k,2.44M,"2,319",416
18,Coronavirus outbreak: Donald Trump suspends travel from Europe to U.S. starting Friday,312K views,Global News,Streamed 1 day ago,9:40,https://www.youtube.com/watch?v=X7KCyRxOoJw,1.23M,"3,584",715
19,Coronavirus Misinformation & Toilet Paper Panic | The Daily Show,2M views,The Daily Show with Trevor Noah,1 day ago,6:12,https://www.youtube.com/watch?v=Ls0ZormAOhU,6.57M,"47,011",901
20,Mark Cuban on coronavirus: This is much bigger than basketball | NBA on ESPN,385K views,ESPN,1 day ago,6:23,https://www.youtube.com/watch?v=vUB5DST4z-E,6.78M,"4,799",132
21,Coronavirus update: Wednesday 11 March | ITV News,332K views,ITV News,1 day ago,1:18,https://www.youtube.com/watch?v=0ovMBrJmbK8,439K,"2,167",237
22,Chris Hayes On How The U.S. Is On Italy's Coronavirus Trajectory | All In | MSNBC,262K views,MSNBC,1 day ago,6:34,https://www.youtube.com/watch?v=_-VxuZmEhV0,2.44M,"4,109",219
23,FULL SPEECH: President Trump address the nation on coronavirus (9 minutes),197K views,WPTV News | West Palm Beach Florida,1 day ago,9:31,https://www.youtube.com/watch?v=mii6NydPiqI,136K,"2,281",613
24,Coronavirus outbreak: How many people can possibly get COVID-19?,62K views,Global News,1 day ago,2:46,https://www.youtube.com/watch?v=J-Z8f0xoirc,1.23M,534,40
25,The 5 Stages of Coronavirus,1.7M views,Jimmy Kimmel Live,1 day ago,11:37,https://www.youtube.com/watch?v=mD97kJVCOXM,16.4M,"27,598","1,649"
26,Italy on lockdown over coronavirus l ABC News,375K views,ABC News,1 day ago,6:19,https://www.youtube.com/watch?v=l5twUq9iPSE,7.9M,"2,441",188
27,Coronavirus Is Our Future | Alanna Shaikh | TEDxSMU,2.4M views,TEDx Talks,1 day ago,16:46,https://www.youtube.com/watch?v=Fqw-9yMV0sI,23.5M,"79,910","5,039"
28,Trump proposes economic changes over coronavirus l ABC News,98K views,ABC News,1 day ago,8:41,https://www.youtube.com/watch?v=AOeHMFC8U1c,7.9M,465,233
29,W.H.O declares coronavirus 'pandemic' - as UK sees highest daily rise in cases,801K views,Channel 4 News,1 day ago,13:55,https://www.youtube.com/watch?v=vFaC8hKovlQ,1.16M,"6,166",725
30,Coronavirus: Virus cases rise rapidly in Europe and US - BBC News,1.1M views,BBC News,2 days ago,8:30,https://www.youtube.com/watch?v=DoHOYCbmJoE,6.58M,"8,337",723
31,World Health Organization declares coronavirus a pandemic | ABC News,197K views,ABC News,1 day ago,2:47,https://www.youtube.com/watch?v=9mT0zFR9us8,7.9M,"1,885",269
