,title,view,channel,uploadtime,length,link,subscriber,like,dislike
0,Infection Rate Charts Forecast Steep Rise In US Coronavirus Cases | Rachel Maddow | MSNBC,7.9K views,MSNBC,2 hours ago,5:48,https://www.youtube.com/watch?v=m2HgeK73ctU,2.45M,975,49
1,President Trump not taking responsibility for coronavirus testing issues,1M views,ABC News,8 hours ago,3:06,https://www.youtube.com/watch?v=pDwBxGOb1Zs,7.91M,"6,121","7,700"
2,Trump declares 'national emergency' for coronavirus,1.2M views,CNN,9 hours ago,10:40,https://www.youtube.com/watch?v=OtAQJjN1kcg,8.76M,"7,979","2,844"
3,Coronavirus outbreak: Donald Trump declares national emergency over COVID-19 | FULL,549K views,Global News,Streamed 11 hours ago,1:12:36,https://www.youtube.com/watch?v=HMGHiI44-XY,1.24M,"4,077","1,254"
4,Nearly 200 people die in Italy in last 24 hours from coronavirus,730K views,ABC News,1 day ago,4:14,https://www.youtube.com/watch?v=cZciLknWNsg,7.91M,"4,597",485
5,"Trump, Dems Reach Coronavirus Relief Deal As National Emergency Is Declared | The 11th Hour | MSNBC",69K views,MSNBC,2 hours ago,9:47,https://www.youtube.com/watch?v=XvvPJzcqCVc,2.45M,"3,104",917
6,"Coronavirus Impacts Tom Hanks, the NBA and Monkeys in Thailand | The Daily Show",1.4M views,The Daily Show with Trevor Noah,20 hours ago,6:24,https://www.youtube.com/watch?v=4IlwdyacDZg,6.59M,"32,579",876
7,Coronavirus special: Are we doing enough?,252K views,Channel 4 News,10 hours ago,45:14,https://www.youtube.com/watch?v=C98FmoZVbjs,1.16M,"2,458",276
8,Rudy Gobert apologizes for exposing others to coronavirus | SportsCenter,440K views,ESPN,1 day ago,4:13,https://www.youtube.com/watch?v=Q2dss9pGShU,6.78M,"4,045",231
9,"ABC News Prime: Coronavirus, Italy Lockdown, Iraq",221K views,ABC News,Streamed 1 day ago,1:01:31,https://www.youtube.com/watch?v=NF7owuYjnWA,7.91M,"1,299",220
10,First Take reacts to Donovan Mitchell testing positive for coronavirus,2.2M views,ESPN,1 day ago,5:31,https://www.youtube.com/watch?v=33A8lbmSdPY,6.78M,"25,311","1,763"
11,"Coronavirus around the world: March 12, 2020",317K views,Global News,1 day ago,3:26,https://www.youtube.com/watch?v=cAJppuDz-Mg,1.24M,"1,561",134
12,"Trump outlines U.S. response to coronavirus outbreak, restricts travel from Europe | ABC News",1.2M views,ABC News,2 days ago,4:04,https://www.youtube.com/watch?v=qyVX-pu-ZDk,7.91M,"10,611","2,500"
13,"Coronavirus Pandemic Update 35: New Outbreaks & Travel Restrictions, Possible COVID-19 Treatments",423K views,MedCram - Medical Lectures Explained CLEARLY,1 day ago,10:27,https://www.youtube.com/watch?v=vE4_LsftNKM,597K,"8,226",160
14,Watch President Donald Trump's address to the nation on coronavirus pandemic,191K views,CNBC Television,2 days ago,9:45,https://www.youtube.com/watch?v=xrPZBTNjX_o,446K,"1,801",560
15,Trump suspends travel from Europe over coronavirus fears (Entire address to nation),692K views,CNN,2 days ago,9:31,https://www.youtube.com/watch?v=EhP2JMgAwuE,8.76M,"7,060","2,716"
16,‘I’m surprised we’re not moving sooner’ on coronavirus - Former UK Health Secretary Jeremy Hunt,657K views,Channel 4 News,1 day ago,10:40,https://www.youtube.com/watch?v=3rmMh2pLKAc,1.16M,"5,998",526
17,"Trump’s Coronavirus Address, Blooper Reel Included | The Daily Show",2.6M views,The Daily Show with Trevor Noah,1 day ago,9:23,https://www.youtube.com/watch?v=BWO6i8cH8SA,6.59M,"60,073","2,361"
18,Anthony Fauci says novel coronavirus '10 times deadlier than the flu',548K views,ABC News,2 days ago,4:16,https://www.youtube.com/watch?v=dM74KiaksgM,7.91M,"3,903",469
19,Mark Cuban reacts to NBA suspending season due to coronavirus | NBA on ESPN,300K views,ESPN,2 days ago,3:17,https://www.youtube.com/watch?v=b2-wU42KJ0c,6.78M,"3,013",79
20,FULL SPEECH: President Trump address the nation on coronavirus (9 minutes),279K views,WPTV News | West Palm Beach Florida,2 days ago,9:31,https://www.youtube.com/watch?v=mii6NydPiqI,136K,"2,570",699
21,"LIVE: Coronavirus death toll, infections and recoveries",335K views,South China Morning Post,Streamed 22 hours ago,8:03:20,https://www.youtube.com/watch?v=3NTREAc1jTo,937K,"1,684",165
22,NBA suspends season due to coronavirus | SportsCenter,598K views,ESPN,2 days ago,4:52,https://www.youtube.com/watch?v=zNWBz4GCiUo,6.78M,"6,654",236
23,Mark Cuban Reacts To NBA Suspending Season Indefinitely Because Of Coronavirus,680K views,Bleacher Report,2 days ago,3:24,https://www.youtube.com/watch?v=HxaPga-WD1U,1.73M,"5,504",170
24,Coronavirus: Drastic measures in US & Europe as cases soar - BBC News,871K views,BBC News,1 day ago,31:12,https://www.youtube.com/watch?v=M53iJduvDSA,6.59M,"6,623",619
25,State of emergency declared in New York City over coronavirus,1.5M views,ABC News,1 day ago,6:28,https://www.youtube.com/watch?v=T6bjC8R2pUw,7.91M,"14,998","1,237"
26,Bill de Blasio - Confronting the Coronavirus Outbreak in New York City | The Daily Show,1M views,The Daily Show with Trevor Noah,2 days ago,15:28,https://www.youtube.com/watch?v=aM2DZjsgAlA,6.59M,"15,416","2,409"
27,Trump suspends travel from Europe to battle coronavirus,568K views,Los Angeles Times,2 days ago,9:41,https://www.youtube.com/watch?v=KYVy_0yUSXM,276K,"7,953","1,417"
28,Infectious Disease Expert: Half Of America Is Likely To Catch Coronavirus | The 11th Hour | MSNBC,401K views,MSNBC,2 days ago,3:20,https://www.youtube.com/watch?v=7ajACc7ul4k,2.45M,"2,455",432
29,Coronavirus update: Wednesday 11 March | ITV News,326K views,ITV News,2 days ago,1:18,https://www.youtube.com/watch?v=0ovMBrJmbK8,440K,"2,184",239
30,Tracing The Origin Of The Coronavirus | NBC News NOW,361K views,NBC News,2 days ago,5:28,https://www.youtube.com/watch?v=mNB8zN5CQGc,2.01M,"2,815",309
31,Coronavirus Is Our Future | Alanna Shaikh | TEDxSMU,2.9M views,TEDx Talks,2 days ago,16:46,https://www.youtube.com/watch?v=Fqw-9yMV0sI,23.5M,"90,423","5,710"
32,South Korea Sees Decline In Coronavirus Cases After Mass Testing | NBC News NOW,221K views,NBC News,2 days ago,4:02,https://www.youtube.com/watch?v=1T0rVrC73Bs,2.01M,"3,816",87
33,"Tom Hanks, Rita Wilson Test Positive For Coronavirus | Rachel Maddow | MSNBC",320K views,MSNBC,2 days ago,1:11,https://www.youtube.com/watch?v=CCjBSvrT-SU,2.45M,"2,629",347
34,Coronavirus: Virus cases rise rapidly in Europe and US - BBC News,1.2M views,BBC News,2 days ago,8:30,https://www.youtube.com/watch?v=DoHOYCbmJoE,6.59M,"8,517",737
35,Top health official on US response to coronavirus pandemic,261K views,ABC News,1 day ago,8:19,https://www.youtube.com/watch?v=9qZehXrLq6g,7.91M,"1,982",230
36,Trump proposes economic changes over coronavirus l ABC News,98K views,ABC News,2 days ago,8:41,https://www.youtube.com/watch?v=AOeHMFC8U1c,7.91M,493,239
37,Mark Cuban on coronavirus: This is much bigger than basketball | NBA on ESPN,416K views,ESPN,2 days ago,6:23,https://www.youtube.com/watch?v=vUB5DST4z-E,6.78M,"5,041",141
38,Italy on lockdown over coronavirus l ABC News,452K views,ABC News,2 days ago,6:19,https://www.youtube.com/watch?v=l5twUq9iPSE,7.91M,"2,774",218
39,The 5 Stages of Coronavirus,1.9M views,Jimmy Kimmel Live,2 days ago,11:37,https://www.youtube.com/watch?v=mD97kJVCOXM,16.4M,"30,045","1,798"
40,Coronavirus: Should the UK quarantine like Italy? - BBC,470K views,BBC,2 days ago,7:00,https://www.youtube.com/watch?v=_zlwWDS-DCs,8.17M,"4,112",403
41,Coronavirus outbreak: Justin Trudeau addresses his wife's COVID-19 diagnosis | FULL,272K views,Global News,Streamed 14 hours ago,52:54,https://www.youtube.com/watch?v=SjEgtT98jqk,1.24M,"1,868",697
42,Treasury likely to push back tax deadline due to coronavirus,222K views,CBS News,2 days ago,3:05,https://www.youtube.com/watch?v=0d0AziuNgi8,2.4M,"1,104",240
43,Coronavirus Test Shortage Raises Alarm As Washington State Bans Mass Gatherings | NBC Nightly News,352K views,NBC News,2 days ago,14:20,https://www.youtube.com/watch?v=JLZjUz9ZTn0,2.01M,"2,320",178
44,Third person in UK dies from coronavirus as cases rise to 273 | ITV News,216K views,ITV News,5 days ago,2:51,https://www.youtube.com/watch?v=DmTcMya-3fI,440K,"1,071",212
45,Mike Breen Announces the NBA Suspended the Season Because of the Coronavirus,143K views,Bleacher Report,2 days ago,0:43,https://www.youtube.com/watch?v=Z9IfFHlTX-k,1.73M,"2,058",49
46,Washington state braces for thousands of potential coronavirus cases,137K views,CBS This Morning,2 days ago,2:48,https://www.youtube.com/watch?v=j6HSjsGVwrc,1.24M,602,152
47,BREAKING: NBA suspends season after Rudy Gobert tests positive for coronavirus | CBS Sports HQ,439K views,CBS Sports,2 days ago,8:04,https://www.youtube.com/watch?v=WfOuA-Rq_4Y,241K,"3,194",205
48,Coronavirus outbreak: Countries react after COVID-19 declared a global pandemic,164K views,Global News,2 days ago,8:02,https://www.youtube.com/watch?v=fGuUh-BmnvI,1.24M,976,83
49,Where Does The U.S. Response To Coronavirus Stand? | Morning Joe | MSNBC,501K views,MSNBC,4 days ago,15:44,https://www.youtube.com/watch?v=zzv1Srm9eVo,2.45M,"3,864",300
50,Trump Addresses the Nation on the Coronavirus Pandemic: A Closer Look,2.5M views,Late Night with Seth Meyers,1 day ago,16:36,https://www.youtube.com/watch?v=-SoZcjMWxm8,3.5M,"61,104","1,671"
51,"Coronavirus around the world: March 11, 2020",63K views,Global News,2 days ago,4:10,https://www.youtube.com/watch?v=5XcC62KBC9c,1.24M,420,33
52,What China's Pollution Says About Coronavirus and the Economy | WSJ,373K views,Wall Street Journal,2 days ago,4:31,https://www.youtube.com/watch?v=cHSftdHskxs,2.03M,"6,181",262
53,The NBA should be commended for its quick action on coronavirus - Rachel Nichols | SportsCenter,169K views,ESPN,2 days ago,4:47,https://www.youtube.com/watch?v=2cjv2lQZN34,6.78M,"2,038",157
54,Coronavirus Explained: What does pandemic declaration mean for the world?,167K views,Channel 4 News,2 days ago,6:44,https://www.youtube.com/watch?v=XJV3X8zM1bU,1.16M,"1,694",152
55,Trump Contradicts Experts as Coronavirus Is Declared a Pandemic: A Closer Look,2.5M views,Late Night with Seth Meyers,2 days ago,15:44,https://www.youtube.com/watch?v=7rMEA6KN_RU,3.5M,"36,743","1,814"
56,Trump 'Not Concerned' About Contact With Brazilian Aide Exposed to Coronavirus,201K views,QuickTake by Bloomberg,1 day ago,1:10,https://www.youtube.com/watch?v=u1Dzg-jVxFE,178K,898,536
57,Coronavirus Enters Devastating New Phase | Morning Joe | MSNBC,751K views,MSNBC,1 day ago,4:42,https://www.youtube.com/watch?v=vzOLgfU9ypQ,2.45M,"4,979","1,727"
58,Merkel: Most people in Germany likely to contract Coronavirus | DW News,292K views,DW News,2 days ago,15:42,https://www.youtube.com/watch?v=6CGi41nB3tA,1.07M,"3,046",217
59,Novel Coronavirus explained l ABC News,425K views,ABC News,3 days ago,2:46,https://www.youtube.com/watch?v=CXOsVXybVJY,7.91M,"2,744",345
60,"ABC News Prime: Coronavirus national emergency, life under quarantine, stock market",231K views,ABC News,Streamed 8 hours ago,1:00:33,https://www.youtube.com/watch?v=wDbyThHkctA,7.91M,"1,954",302
61,W.H.O declares coronavirus 'pandemic' - as UK sees highest daily rise in cases,815K views,Channel 4 News,2 days ago,13:55,https://www.youtube.com/watch?v=vFaC8hKovlQ,1.16M,"6,211",735
62,"Global National: March 11, 2020 | WHO declares coronavirus a global pandemic",215K views,Global News,2 days ago,22:15,https://www.youtube.com/watch?v=XcARC2mrmcQ,1.24M,"1,094",119
63,Experts Hope Herd Immunity ‘Flattens’ The Coronavirus Curve | NBC News NOW,250K views,NBC News,2 days ago,15:15,https://www.youtube.com/watch?v=f2aDEPZbLEI,2.01M,"1,528",177
64,Coronavirus Misinformation & Toilet Paper Panic | The Daily Show,2.3M views,The Daily Show with Trevor Noah,2 days ago,6:12,https://www.youtube.com/watch?v=Ls0ZormAOhU,6.59M,"51,736","1,119"
65,Coronavirus Crisis: Your Questions Answered | NBC News (Live Stream Recording),373K views,NBC News,Streamed 2 days ago,1:00:14,https://www.youtube.com/watch?v=YDmOEPI4-8Y,2.01M,"2,189",452
66,"Tom Hanks, Rita Wilson test positive for coronavirus",430K views,Fox News,2 days ago,3:07,https://www.youtube.com/watch?v=XKQhhpc1VFQ,4.48M,"5,442",368
67,Iran Played Down the Coronavirus. Then Its Officials Got Sick | NYT News,505K views,The New York Times,3 days ago,4:07,https://www.youtube.com/watch?v=lm2UFynetJw,2.55M,"6,202",341
68,World Health Organization declares coronavirus a pandemic | ABC News,200K views,ABC News,2 days ago,2:47,https://www.youtube.com/watch?v=9mT0zFR9us8,7.91M,"1,906",272
69,Chris Hayes On How The U.S. Is On Italy's Coronavirus Trajectory | All In | MSNBC,311K views,MSNBC,2 days ago,6:34,https://www.youtube.com/watch?v=_-VxuZmEhV0,2.45M,"4,516",250
