,title,view,channel,uploadtime,length,link,subscriber,like,dislike,clean_text
0,"Coronavirus outbreak: WHO says ""Europe is now epicentre of pandemic"" | FULL",14000,Global News,2,2009,https://www.youtube.com/watch?v=eyntF-VqRBw,1230000,868,444,coronavirus outbreak say europe epicentre pandemic full
1,"Disney theme parks, American landmarks close amid coronavirus l ABC News",13000,ABC News,4,260,https://www.youtube.com/watch?v=xGpew-tPga4,7900000,415,63,disney theme park american landmark close amid coronavirus l abc news
2,Trump Plans To Declare National Emergency Over Coronavirus | Andrea Mitchell | MSNBC,15000,MSNBC,2,122,https://www.youtube.com/watch?v=zFHvra6KuAc,2440000,1493,90,trump plan declare national emergency coronavirus andrea mitchell msnbc
3,Rudy Gobert apologizes for exposing others to coronavirus | SportsCenter,347000,ESPN,17,253,https://www.youtube.com/watch?v=Q2dss9pGShU,6780000,3558,201,rudy gobert apologizes exposing others coronavirus sportscenter
4,Nearly 200 people die in Italy in last 24 hours from coronavirus,449000,ABC News,16,254,https://www.youtube.com/watch?v=cZciLknWNsg,7900000,3380,345,nearly people die italy last hour coronavirus
5,Gov. DeWine says Ohio estimated to have over 100K cases of coronavirus,83000,Fox News,4,318,https://www.youtube.com/watch?v=HnjvX8oLBdo,4480000,1669,621,gov dewine say ohio estimated k case coronavirus
6,Tom Hanks and Rita Wilson test positive for coronavirus,524000,CNN,24,529,https://www.youtube.com/watch?v=Wbk8ZrfU3EM,8750000,5238,1060,tom hank rita wilson test positive coronavirus
7,Let's talk about Coronavirus,1700000,Markiplier,20,430,https://www.youtube.com/watch?v=VwsGzkLu-j0,25100000,244031,3449,let talk coronavirus
8,Coronavirus outbreak: Donald Trump suspends travel from Europe to U.S. starting Friday,318000,Global News,24,580,https://www.youtube.com/watch?v=X7KCyRxOoJw,1230000,3619,726,coronavirus outbreak donald trump suspends travel europe u starting friday
9,Tracing The Origin Of The Coronavirus | NBC News NOW,269000,NBC News,24,328,https://www.youtube.com/watch?v=mNB8zN5CQGc,1990000,2259,259,tracing origin coronavirus nbc news
10,"Tom Hanks, Rita Wilson Test Positive For Coronavirus | Rachel Maddow | MSNBC",306000,MSNBC,24,71,https://www.youtube.com/watch?v=CCjBSvrT-SU,2440000,2563,335,tom hank rita wilson test positive coronavirus rachel maddow msnbc
11,Anthony Fauci says novel coronavirus '10 times deadlier than the flu',490000,ABC News,24,256,https://www.youtube.com/watch?v=dM74KiaksgM,7900000,3729,439,anthony fauci say novel coronavirus time deadlier flu
12,Donald Trump addresses US on coronavirus - watch live,86000,Guardian News,24,538,https://www.youtube.com/watch?v=YR_Rgdkibdk,850000,869,316,donald trump address u coronavirus watch live
13,Mark Cuban reacts to NBA suspending season due to coronavirus | NBA on ESPN,248000,ESPN,24,197,https://www.youtube.com/watch?v=b2-wU42KJ0c,6780000,2963,76,mark cuban reacts nba suspending season due coronavirus nba espn
14,Coronavirus Test Shortage Raises Alarm As Washington State Bans Mass Gatherings | NBC Nightly News,350000,NBC News,24,860,https://www.youtube.com/watch?v=JLZjUz9ZTn0,1990000,2295,177,coronavirus test shortage raise alarm washington state ban mass gathering nbc nightly news
15,NBA suspends season due to coronavirus | SportsCenter,588000,ESPN,24,292,https://www.youtube.com/watch?v=zNWBz4GCiUo,6780000,6615,232,nba suspends season due coronavirus sportscenter
16,Trump Addresses The Nation On Coronavirus From Oval Office | NBC News (Live Stream Recording),1000000,NBC News,24,1045,https://www.youtube.com/watch?v=I09RkjLcFpU,1990000,6376,2647,trump address nation coronavirus oval office nbc news live stream recording
17,Bill de Blasio - Confronting the Coronavirus Outbreak in New York City | The Daily Show,980000,The Daily Show with Trevor Noah,24,928,https://www.youtube.com/watch?v=aM2DZjsgAlA,6580000,14899,2340,bill de blasio confronting coronavirus outbreak new york city daily show
18,Infectious Disease Expert: Half Of America Is Likely To Catch Coronavirus | The 11th Hour | MSNBC,375000,MSNBC,24,200,https://www.youtube.com/watch?v=7ajACc7ul4k,2440000,2369,420,infectious disease expert half america likely catch coronavirus th hour msnbc
19,Trump Contradicts Experts as Coronavirus Is Declared a Pandemic: A Closer Look,2300000,Late Night with Seth Meyers,24,944,https://www.youtube.com/watch?v=7rMEA6KN_RU,3500000,35563,1714,trump contradicts expert coronavirus declared pandemic closer look
