,title,view,channel,uploadtime,length,link,subscriber,like,dislike,clean_text
0,'We Had To Move Quickly': Trump Defends New Travel Restrictions For Coronavirus | MSNBC,15000,MSNBC,3,122,https://www.youtube.com/watch?v=AeJPTWnYZDk,2440000,1740,454,move quickly trump defends new travel restriction coronavirus msnbc
1,Americans Try To Leave Spain Before Coronavirus Ban: 'I Just Hope To Be Able To Get Home' | NBC News,13000,NBC News,4,106,https://www.youtube.com/watch?v=gQMbyvIXYQk,1980000,284,70,american try leave spain coronavirus ban hope able get home nbc news
2,First Take reacts to Donovan Mitchell testing positive for coronavirus,268000,ESPN,4,331,https://www.youtube.com/watch?v=33A8lbmSdPY,6770000,9240,341,first take reacts donovan mitchell testing positive coronavirus
3,"Donovan Mitchell second NBA player to test positive for coronavirus, per report | CBS Sports HQ",19000,CBS Sports,4,452,https://www.youtube.com/watch?v=NQ638csGhI8,241000,542,40,donovan mitchell second nba player test positive coronavirus per report cbs sport hq
4,Infectious Disease Expert: Half Of America Is Likely To Catch Coronavirus | The 11th Hour | MSNBC,186000,MSNBC,15,200,https://www.youtube.com/watch?v=7ajACc7ul4k,2440000,1570,321,infectious disease expert half america likely catch coronavirus th hour msnbc
5,Anthony Fauci says novel coronavirus '10 times deadlier than the flu',256000,ABC News,17,256,https://www.youtube.com/watch?v=dM74KiaksgM,7890000,2448,273,anthony fauci say novel coronavirus time deadlier flu
6,Coronavirus outbreak: Donald Trump suspends travel from Europe to U.S. starting Friday,263000,Global News,18,580,https://www.youtube.com/watch?v=X7KCyRxOoJw,1220000,3124,622,coronavirus outbreak donald trump suspends travel europe u starting friday
7,Daily Life Is Changing For Millions Of Americans As Coronavirus Crisis Grows,1600000,The Late Show with Stephen Colbert,16,700,https://www.youtube.com/watch?v=lk0sQEhrY5U,7250000,30059,919,daily life changing million american coronavirus crisis grows
8,Mark Cuban on coronavirus: This is much bigger than basketball | NBA on ESPN,298000,ESPN,15,383,https://www.youtube.com/watch?v=vUB5DST4z-E,6770000,4076,102,mark cuban coronavirus much bigger basketball nba espn
9,Lawrence And Rachel On The NBA Suspending Their Season Due To Coronavirus | The Last Word | MSNBC,195000,MSNBC,15,481,https://www.youtube.com/watch?v=1rfiwmfttUk,2440000,2689,219,lawrence rachel nba suspending season due coronavirus last word msnbc
10,Trump Addresses A Nation On Edge As Local Officials Lead On Coronavirus | The 11th Hour | MSNBC,120000,MSNBC,15,407,https://www.youtube.com/watch?v=Sqn1Ab2DsDo,2440000,1277,218,trump address nation edge local official lead coronavirus th hour msnbc
11,The 5 Stages of Coronavirus,971000,Jimmy Kimmel Live,15,697,https://www.youtube.com/watch?v=mD97kJVCOXM,16300000,19518,1094,stage coronavirus
12,"Coronavirus Concerns Empty Planes, Leaving Airline Industry Reeling | TODAY",441000,TODAY,24,235,https://www.youtube.com/watch?v=0xqGmEhEyW8,1780000,2839,160,coronavirus concern empty plane leaving airline industry reeling today
