,title,view,channel,uploadtime,length,link,subscriber,like,dislike,clean_text
0,Coronavirus: Do UK measures go far enough?,76000,Sky News,4,224,https://www.youtube.com/watch?v=2N-Vbz_HJt0,1880000,1442,781,coronavirus uk measure go far enough
1,Nearly 200 people die in Italy in last 24 hours from coronavirus,371000,ABC News,13,254,https://www.youtube.com/watch?v=cZciLknWNsg,7900000,2944,313,nearly people die italy last hour coronavirus
2,"Trump’s Coronavirus Address, Blooper Reel Included | The Daily Show",1300000,The Daily Show with Trevor Noah,12,563,https://www.youtube.com/watch?v=BWO6i8cH8SA,6570000,41137,1470,trump coronavirus address blooper reel included daily show
3,Top health official on US response to coronavirus pandemic,227000,ABC News,14,499,https://www.youtube.com/watch?v=9qZehXrLq6g,7900000,1835,211,top health official u response coronavirus pandemic
4,Congress And Trump Admin. Scramble For Coronavirus Aid Deal As Pandemic Causes Panic | Nightly News,331000,NBC News,15,658,https://www.youtube.com/watch?v=X7ERdQYlq8I,1990000,2415,216,congress trump admin scramble coronavirus aid deal pandemic cause panic nightly news
5,Rudy Gobert apologizes for exposing others to coronavirus | SportsCenter,310000,ESPN,14,253,https://www.youtube.com/watch?v=Q2dss9pGShU,6780000,3400,185,rudy gobert apologizes exposing others coronavirus sportscenter
6,"Tom Hanks, Rita Wilson Test Positive For Coronavirus | Rachel Maddow | MSNBC",300000,MSNBC,24,71,https://www.youtube.com/watch?v=CCjBSvrT-SU,2440000,2510,321,tom hank rita wilson test positive coronavirus rachel maddow msnbc
7,Tracing The Origin Of The Coronavirus | NBC News NOW,242000,NBC News,24,328,https://www.youtube.com/watch?v=mNB8zN5CQGc,1990000,2077,246,tracing origin coronavirus nbc news
8,Anthony Fauci says novel coronavirus '10 times deadlier than the flu',469000,ABC News,24,256,https://www.youtube.com/watch?v=dM74KiaksgM,7900000,3641,430,anthony fauci say novel coronavirus time deadlier flu
9,Mark Cuban reacts to NBA suspending season due to coronavirus | NBA on ESPN,248000,ESPN,24,197,https://www.youtube.com/watch?v=b2-wU42KJ0c,6780000,2947,75,mark cuban reacts nba suspending season due coronavirus nba espn
10,Coronavirus Test Shortage Raises Alarm As Washington State Bans Mass Gatherings | NBC Nightly News,349000,NBC News,24,860,https://www.youtube.com/watch?v=JLZjUz9ZTn0,1990000,2283,177,coronavirus test shortage raise alarm washington state ban mass gathering nbc nightly news
11,NBA suspends season due to coronavirus | SportsCenter,584000,ESPN,24,292,https://www.youtube.com/watch?v=zNWBz4GCiUo,6780000,6602,231,nba suspends season due coronavirus sportscenter
12,South Korea Sees Decline In Coronavirus Cases After Mass Testing | NBC News NOW,157000,NBC News,24,242,https://www.youtube.com/watch?v=1T0rVrC73Bs,1990000,2697,66,south korea see decline coronavirus case mass testing nbc news
13,Trump Addresses The Nation On Coronavirus From Oval Office | NBC News (Live Stream Recording),998000,NBC News,24,1045,https://www.youtube.com/watch?v=I09RkjLcFpU,1990000,6290,2604,trump address nation coronavirus oval office nbc news live stream recording
14,Bill de Blasio - Confronting the Coronavirus Outbreak in New York City | The Daily Show,955000,The Daily Show with Trevor Noah,24,928,https://www.youtube.com/watch?v=aM2DZjsgAlA,6570000,14609,2290,bill de blasio confronting coronavirus outbreak new york city daily show
15,Let's talk about Coronavirus,1500000,Markiplier,17,430,https://www.youtube.com/watch?v=VwsGzkLu-j0,25100000,229085,2792,let talk coronavirus
16,Trump Contradicts Experts as Coronavirus Is Declared a Pandemic: A Closer Look,2300000,Late Night with Seth Meyers,24,944,https://www.youtube.com/watch?v=7rMEA6KN_RU,3500000,35301,1700,trump contradicts expert coronavirus declared pandemic closer look
17,Infectious Disease Expert: Half Of America Is Likely To Catch Coronavirus | The 11th Hour | MSNBC,363000,MSNBC,24,200,https://www.youtube.com/watch?v=7ajACc7ul4k,2440000,2319,416,infectious disease expert half america likely catch coronavirus th hour msnbc
18,Coronavirus outbreak: Donald Trump suspends travel from Europe to U.S. starting Friday,312000,Global News,24,580,https://www.youtube.com/watch?v=X7KCyRxOoJw,1230000,3584,715,coronavirus outbreak donald trump suspends travel europe u starting friday
19,Coronavirus Misinformation & Toilet Paper Panic | The Daily Show,2000000,The Daily Show with Trevor Noah,24,372,https://www.youtube.com/watch?v=Ls0ZormAOhU,6570000,47011,901,coronavirus misinformation toilet paper panic daily show
20,Mark Cuban on coronavirus: This is much bigger than basketball | NBA on ESPN,385000,ESPN,24,383,https://www.youtube.com/watch?v=vUB5DST4z-E,6780000,4799,132,mark cuban coronavirus much bigger basketball nba espn
21,Coronavirus update: Wednesday 11 March | ITV News,332000,ITV News,24,78,https://www.youtube.com/watch?v=0ovMBrJmbK8,439000,2167,237,coronavirus update wednesday march itv news
22,Chris Hayes On How The U.S. Is On Italy's Coronavirus Trajectory | All In | MSNBC,262000,MSNBC,24,394,https://www.youtube.com/watch?v=_-VxuZmEhV0,2440000,4109,219,chris hayes u italy coronavirus trajectory msnbc
23,FULL SPEECH: President Trump address the nation on coronavirus (9 minutes),197000,WPTV News | West Palm Beach Florida,24,571,https://www.youtube.com/watch?v=mii6NydPiqI,136000,2281,613,full speech president trump address nation coronavirus minute
24,Coronavirus outbreak: How many people can possibly get COVID-19?,62000,Global News,24,166,https://www.youtube.com/watch?v=J-Z8f0xoirc,1230000,534,40,coronavirus outbreak many people possibly get covid
25,The 5 Stages of Coronavirus,1700000,Jimmy Kimmel Live,24,697,https://www.youtube.com/watch?v=mD97kJVCOXM,16399999,27598,1649,stage coronavirus
26,Italy on lockdown over coronavirus l ABC News,375000,ABC News,24,379,https://www.youtube.com/watch?v=l5twUq9iPSE,7900000,2441,188,italy lockdown coronavirus l abc news
27,Coronavirus Is Our Future | Alanna Shaikh | TEDxSMU,2400000,TEDx Talks,24,1006,https://www.youtube.com/watch?v=Fqw-9yMV0sI,23500000,79910,5039,coronavirus future alanna shaikh tedxsmu
28,Trump proposes economic changes over coronavirus l ABC News,98000,ABC News,24,521,https://www.youtube.com/watch?v=AOeHMFC8U1c,7900000,465,233,trump proposes economic change coronavirus l abc news
29,W.H.O declares coronavirus 'pandemic' - as UK sees highest daily rise in cases,801000,Channel 4 News,24,835,https://www.youtube.com/watch?v=vFaC8hKovlQ,1160000,6166,725,declares coronavirus pandemic uk see highest daily rise case
30,Coronavirus: Virus cases rise rapidly in Europe and US - BBC News,1100000,BBC News,48,510,https://www.youtube.com/watch?v=DoHOYCbmJoE,6580000,8337,723,coronavirus virus case rise rapidly europe u bbc news
31,World Health Organization declares coronavirus a pandemic | ABC News,197000,ABC News,24,167,https://www.youtube.com/watch?v=9mT0zFR9us8,7900000,1885,269,world health organization declares coronavirus pandemic abc news
32,Daily Life Is Changing For Millions Of Americans As Coronavirus Crisis Grows,2500000,The Late Show with Stephen Colbert,24,700,https://www.youtube.com/watch?v=lk0sQEhrY5U,7250000,36733,1221,daily life changing million american coronavirus crisis grows
33,Coronavirus outbreak: Countries react after COVID-19 declared a global pandemic,143000,Global News,24,482,https://www.youtube.com/watch?v=fGuUh-BmnvI,1230000,906,75,coronavirus outbreak country react covid declared global pandemic
34,Coronavirus Explained: What does pandemic declaration mean for the world?,152000,Channel 4 News,24,404,https://www.youtube.com/watch?v=XJV3X8zM1bU,1160000,1633,145,coronavirus explained pandemic declaration mean world
35,Treasury likely to push back tax deadline due to coronavirus,213000,CBS News,48,185,https://www.youtube.com/watch?v=0d0AziuNgi8,2400000,1071,234,treasury likely push back tax deadline due coronavirus
36,"Sen. Bernie Sanders on the Trump Administration's Coronavirus Missteps, Greed, Grandkids",215000,The Tonight Show Starring Jimmy Fallon,24,325,https://www.youtube.com/watch?v=y2P5QbaJt_g,24200000,8688,540,sen bernie sander trump administration coronavirus misstep greed grandkids
37,BREAKING: NBA suspends season after Rudy Gobert tests positive for coronavirus | CBS Sports HQ,427000,CBS Sports,24,484,https://www.youtube.com/watch?v=WfOuA-Rq_4Y,241000,3158,197,breaking nba suspends season rudy gobert test positive coronavirus cbs sport hq
38,What China's Pollution Says About Coronavirus and the Economy | WSJ,286000,Wall Street Journal,24,271,https://www.youtube.com/watch?v=cHSftdHskxs,2029999,4890,197,china pollution say coronavirus economy wsj
39,Washington state braces for thousands of potential coronavirus cases,135000,CBS This Morning,48,168,https://www.youtube.com/watch?v=j6HSjsGVwrc,1240000,592,152,washington state brace thousand potential coronavirus case
40,NBA suspends season due to coronavirus,46000,Fox Business,24,33,https://www.youtube.com/watch?v=XHTltHA-wqA,890000,453,297,nba suspends season due coronavirus
41,Coronavirus Crisis: Your Questions Answered | NBC News (Live Stream Recording),358000,NBC News,24,3614,https://www.youtube.com/watch?v=YDmOEPI4-8Y,1990000,2134,443,coronavirus crisis question answered nbc news live stream recording
42,Experts Hope Herd Immunity ‘Flattens’ The Coronavirus Curve | NBC News NOW,186000,NBC News,24,915,https://www.youtube.com/watch?v=f2aDEPZbLEI,1990000,1142,120,expert hope herd immunity flattens coronavirus curve nbc news
43,Coronavirus update: WHO chief declares the coronavirus a global pandemic,54000,CNBC Television,24,163,https://www.youtube.com/watch?v=5fTSrArRp8M,442000,347,37,coronavirus update chief declares coronavirus global pandemic
44,Coronavirus: Is the UK on the same path as Italy?,378000,Sky News,48,140,https://www.youtube.com/watch?v=fzbkY9s4Y6s,1880000,2715,222,coronavirus uk path italy
