,title,view,channel,uploadtime,length,link,subscriber,like,dislike,clean_text
0,Pres. Trump discusses coronavirus outbreak while meeting with Ireland Prime Minister | ABC News,21000,ABC News,4,227,https://www.youtube.com/watch?v=37tGRZgBz6g,7890000,1824,647,pres trump discus coronavirus outbreak meeting ireland prime minister abc news
1,'We Had To Move Quickly': Trump Defends New Travel Restrictions For Coronavirus | MSNBC,182000,MSNBC,6,122,https://www.youtube.com/watch?v=AeJPTWnYZDk,2440000,2124,543,move quickly trump defends new travel restriction coronavirus msnbc
2,Infectious Disease Expert: Half Of America Is Likely To Catch Coronavirus | The 11th Hour | MSNBC,235000,MSNBC,19,200,https://www.youtube.com/watch?v=7ajACc7ul4k,2440000,1928,364,infectious disease expert half america likely catch coronavirus th hour msnbc
3,Anthony Fauci says novel coronavirus '10 times deadlier than the flu',284000,ABC News,20,256,https://www.youtube.com/watch?v=dM74KiaksgM,7890000,2738,308,anthony fauci say novel coronavirus time deadlier flu
4,First Take reacts to Donovan Mitchell testing positive for coronavirus,678000,ESPN,7,331,https://www.youtube.com/watch?v=33A8lbmSdPY,6780000,13676,619,first take reacts donovan mitchell testing positive coronavirus
5,"Trump restricts travel to Europe, addresses nation on coronavirus",248000,ABC News,21,675,https://www.youtube.com/watch?v=93u3NECBvZM,7890000,2341,367,trump restricts travel europe address nation coronavirus
6,The 5 Stages of Coronavirus,1100000,Jimmy Kimmel Live,19,697,https://www.youtube.com/watch?v=mD97kJVCOXM,16300000,22097,1275,stage coronavirus
7,NBA suspends season due to coronavirus | SportsCenter,548000,ESPN,21,292,https://www.youtube.com/watch?v=zNWBz4GCiUo,6780000,6398,227,nba suspends season due coronavirus sportscenter
8,Trump Addresses A Nation On Edge As Local Officials Lead On Coronavirus | The 11th Hour | MSNBC,129000,MSNBC,19,407,https://www.youtube.com/watch?v=Sqn1Ab2DsDo,2440000,1358,227,trump address nation edge local official lead coronavirus th hour msnbc
9,Coronavirus Is Our Future | Alanna Shaikh | TEDxSMU,1300000,TEDx Talks,24,1006,https://www.youtube.com/watch?v=Fqw-9yMV0sI,23500000,53232,3300,coronavirus future alanna shaikh tedxsmu
10,Americans Try To Leave Spain Before Coronavirus Ban: 'I Just Hope To Be Able To Get Home' | NBC News,52000,NBC News,7,106,https://www.youtube.com/watch?v=gQMbyvIXYQk,1980000,487,109,american try leave spain coronavirus ban hope able get home nbc news
11,Mark Cuban on coronavirus: This is much bigger than basketball | NBA on ESPN,318000,ESPN,19,383,https://www.youtube.com/watch?v=vUB5DST4z-E,6780000,4234,105,mark cuban coronavirus much bigger basketball nba espn
12,Trump Addresses The Nation On Coronavirus From Oval Office | NBC News (Live Stream Recording),871000,NBC News,22,1045,https://www.youtube.com/watch?v=I09RkjLcFpU,1980000,5816,2415,trump address nation coronavirus oval office nbc news live stream recording
13,Coronavirus: Virus cases rise rapidly in Europe and US - BBC News,1100000,BBC News,24,510,https://www.youtube.com/watch?v=DoHOYCbmJoE,6570000,8046,692,coronavirus virus case rise rapidly europe u bbc news
14,Treasury likely to push back tax deadline due to coronavirus,201000,CBS News,24,185,https://www.youtube.com/watch?v=0d0AziuNgi8,2400000,1009,225,treasury likely push back tax deadline due coronavirus
15,Trump Contradicts Experts as Coronavirus Is Declared a Pandemic: A Closer Look,1900000,Late Night with Seth Meyers,22,944,https://www.youtube.com/watch?v=7rMEA6KN_RU,3490000,33016,1586,trump contradicts expert coronavirus declared pandemic closer look
16,"Tom Hanks, Rita Wilson test positive for coronavirus",368000,Fox News,21,187,https://www.youtube.com/watch?v=XKQhhpc1VFQ,4470000,5019,307,tom hank rita wilson test positive coronavirus
17,Trump proposes economic changes over coronavirus l ABC News,81000,ABC News,20,521,https://www.youtube.com/watch?v=AOeHMFC8U1c,7890000,401,219,trump proposes economic change coronavirus l abc news
18,Coronavirus: Is the UK on the same path as Italy?,361000,Sky News,48,140,https://www.youtube.com/watch?v=fzbkY9s4Y6s,1880000,2667,223,coronavirus uk path italy
19,Novel Coronavirus explained l ABC News,289000,ABC News,48,166,https://www.youtube.com/watch?v=CXOsVXybVJY,7890000,2314,306,novel coronavirus explained l abc news
20,Coronavirus disease cases in Philippines rise to 33 | ABS-CBN News,187000,ABS-CBN News,48,2066,https://www.youtube.com/watch?v=S5w-UO6pSSU,8520000,1153,122,coronavirus disease case philippine rise abscbn news
21,WHO declares coronavirus outbreak a pandemic,428000,Fox News,24,51,https://www.youtube.com/watch?v=d1eEWihvwpQ,4470000,3588,749,declares coronavirus outbreak pandemic
22,Coronavirus Causes Disruptions For U.S. Airlines | NBC Nightly News,89000,NBC News,24,108,https://www.youtube.com/watch?v=xcGUv4thtHA,1980000,313,37,coronavirus cause disruption u airline nbc nightly news
