,title,view,channel,uploadtime,length,link,subscriber,like,dislike,clean_text
0,Rudy Gobert apologizes for exposing others to coronavirus | SportsCenter,449000,ESPN,24,253,https://www.youtube.com/watch?v=Q2dss9pGShU,6780000,4084,229,rudy gobert apologizes exposing others coronavirus sportscenter
1,Nearly 200 people die in Italy in last 24 hours from coronavirus,759000,ABC News,24,254,https://www.youtube.com/watch?v=cZciLknWNsg,7920000,4744,490,nearly people die italy last hour coronavirus
2,Coronavirus Livestream Coverage: News On The COVID-19 Outbreak | NBC News (Live Stream Recording),425000,NBC News,24,7620,https://www.youtube.com/watch?v=yI6it13xOGI,2009999,2031,353,coronavirus livestream coverage news covid outbreak nbc news live stream recording
3,State of emergency declared in New York City over coronavirus,1500000,ABC News,24,388,https://www.youtube.com/watch?v=T6bjC8R2pUw,7920000,15142,1266,state emergency declared new york city coronavirus
4,Coronavirus outbreak: Ontario to close public schools; global markets continue tumble,115000,Global News,24,720,https://www.youtube.com/watch?v=oJbiJ80hsAo,1240000,699,80,coronavirus outbreak ontario close public school global market continue tumble
5,Coronavirus: Can herd immunity protect the population? - BBC Newsnight,71000,BBC Newsnight,24,387,https://www.youtube.com/watch?v=blkDulsgh3Q,521000,715,150,coronavirus herd immunity protect population bbc newsnight
6,Top health official on US response to coronavirus pandemic,263000,ABC News,24,499,https://www.youtube.com/watch?v=9qZehXrLq6g,7920000,1985,233,top health official u response coronavirus pandemic
7,Living with Coronavirus (COVID-19) Symptoms & Treatments,124000,Audioholics,24,796,https://www.youtube.com/watch?v=iQ9Su-TO3Sw,108000,4015,87,living coronavirus covid symptom treatment
8,Coronavirus controversy: Chinese official suggests US is responsible,64000,Fox News,8,164,https://www.youtube.com/watch?v=hZftihVyq9E,4480000,1165,240,coronavirus controversy chinese official suggests u responsible
9,COVID-19: Tenth patient dies as UK coronavirus cases hit 590,296000,Sky News,24,333,https://www.youtube.com/watch?v=1xpEt20PPbQ,1890000,2285,200,covid tenth patient dy uk coronavirus case hit
10,Coronavirus outbreak: Prime Minister Justin Trudeau and wife in self-isolation over COVID-19 concern,216000,Global News,24,260,https://www.youtube.com/watch?v=Cwl6wIADhS8,1240000,1380,183,coronavirus outbreak prime minister justin trudeau wife selfisolation covid concern
11,Coronavirus Disrupts Daily Life As Trump Fails To Calm A Nation On Edge | The 11th Hour | MSNBC,379000,MSNBC,24,380,https://www.youtube.com/watch?v=i0K4PIVe92I,2450000,4077,449,coronavirus disrupts daily life trump fails calm nation edge th hour msnbc
12,Trump Addresses the Nation on the Coronavirus Pandemic: A Closer Look,2600000,Late Night with Seth Meyers,24,996,https://www.youtube.com/watch?v=-SoZcjMWxm8,3500000,61745,1695,trump address nation coronavirus pandemic closer look
13,‘I’m surprised we’re not moving sooner’ on coronavirus - Former UK Health Secretary Jeremy Hunt,667000,Channel 4 News,24,640,https://www.youtube.com/watch?v=3rmMh2pLKAc,1160000,6060,536,im surprised moving sooner coronavirus former uk health secretary jeremy hunt
14,Congress And Trump Admin. Scramble For Coronavirus Aid Deal As Pandemic Causes Panic | Nightly News,403000,NBC News,24,658,https://www.youtube.com/watch?v=X7ERdQYlq8I,2009999,2797,292,congress trump admin scramble coronavirus aid deal pandemic cause panic nightly news
15,Coronavirus: Drastic measures in US & Europe as cases soar - BBC News,885000,BBC News,24,1872,https://www.youtube.com/watch?v=M53iJduvDSA,6590000,6708,635,coronavirus drastic measure u europe case soar bbc news
16,ER Doctor Explains What To Do If You Start Showing Coronavirus Symptoms | All In | MSNBC,224000,MSNBC,24,301,https://www.youtube.com/watch?v=unN8leCvHyM,2450000,1783,235,er doctor explains start showing coronavirus symptom msnbc
17,"Trump outlines U.S. response to coronavirus outbreak, restricts travel from Europe | ABC News",1200000,ABC News,48,244,https://www.youtube.com/watch?v=qyVX-pu-ZDk,7920000,10623,2501,trump outline u response coronavirus outbreak restricts travel europe abc news
18,"LIVE: Coronavirus death toll, infections and recoveries",347000,South China Morning Post,24,29000,https://www.youtube.com/watch?v=3NTREAc1jTo,938000,1720,171,live coronavirus death toll infection recovery
19,"Coronavirus Pandemic Update 35: New Outbreaks & Travel Restrictions, Possible COVID-19 Treatments",428000,MedCram - Medical Lectures Explained CLEARLY,24,627,https://www.youtube.com/watch?v=vE4_LsftNKM,597000,8274,160,coronavirus pandemic update new outbreak travel restriction possible covid treatment
20,"Asians facing discrimination, violence amid coronavirus outbreak",255000,ABC News,24,481,https://www.youtube.com/watch?v=ljIuWWLHNlA,7920000,3045,675,asian facing discrimination violence amid coronavirus outbreak
21,'We Had To Move Quickly': Trump Defends New Travel Restrictions For Coronavirus | MSNBC,254000,MSNBC,24,122,https://www.youtube.com/watch?v=AeJPTWnYZDk,2450000,2325,567,move quickly trump defends new travel restriction coronavirus msnbc
22,Watch President Donald Trump's address to the nation on coronavirus pandemic,195000,CNBC Television,48,585,https://www.youtube.com/watch?v=xrPZBTNjX_o,446000,1806,562,watch president donald trump address nation coronavirus pandemic
23,Coronavirus Outbreak Worsens In Europe | NBC Nightly News,67000,NBC News,24,114,https://www.youtube.com/watch?v=hNNGHricxDw,2009999,321,29,coronavirus outbreak worsens europe nbc nightly news
24,Trump suspends travel from Europe over coronavirus fears (Entire address to nation),692000,CNN,48,571,https://www.youtube.com/watch?v=EhP2JMgAwuE,8760000,7062,2717,trump suspends travel europe coronavirus fear entire address nation
25,"Coronavirus outbreak: Health official tells Congress that COVID-19 testing ""failing"" in U.S. | FULL",217000,Global News,24,6730,https://www.youtube.com/watch?v=UyJhx_JAS38,1240000,1377,287,coronavirus outbreak health official tell congress covid testing failing u full
26,FULL SPEECH: President Trump address the nation on coronavirus (9 minutes),279000,WPTV News | West Palm Beach Florida,48,571,https://www.youtube.com/watch?v=mii6NydPiqI,136000,2580,707,full speech president trump address nation coronavirus minute
27,First Take reacts to Donovan Mitchell testing positive for coronavirus,2200000,ESPN,24,331,https://www.youtube.com/watch?v=33A8lbmSdPY,6780000,25395,1774,first take reacts donovan mitchell testing positive coronavirus
28,"Trump’s Coronavirus Address, Blooper Reel Included | The Daily Show",2700000,The Daily Show with Trevor Noah,24,563,https://www.youtube.com/watch?v=BWO6i8cH8SA,6600000,61228,2406,trump coronavirus address blooper reel included daily show
