,title,view,channel,uploadtime,length,link,subscriber,like,dislike,clean_text
0,Top health official on US response to coronavirus pandemic,5500,ABC News,1,499,https://www.youtube.com/watch?v=9qZehXrLq6g,7890000,666,72,top health official u response coronavirus pandemic
1,Pres. Trump discusses coronavirus outbreak while meeting with Ireland Prime Minister | ABC News,216000,ABC News,7,227,https://www.youtube.com/watch?v=37tGRZgBz6g,7890000,2207,725,pres trump discus coronavirus outbreak meeting ireland prime minister abc news
2,Tom Hanks and Rita Wilson test positive for coronavirus,455000,CNN,23,529,https://www.youtube.com/watch?v=Wbk8ZrfU3EM,8740000,4854,966,tom hank rita wilson test positive coronavirus
3,Anthony Fauci says novel coronavirus '10 times deadlier than the flu',337000,ABC News,24,256,https://www.youtube.com/watch?v=dM74KiaksgM,7890000,3107,355,anthony fauci say novel coronavirus time deadlier flu
4,"Tom Hanks, Rita Wilson Test Positive For Coronavirus | Rachel Maddow | MSNBC",251000,MSNBC,24,71,https://www.youtube.com/watch?v=CCjBSvrT-SU,2440000,2218,267,tom hank rita wilson test positive coronavirus rachel maddow msnbc
5,First Take reacts to Donovan Mitchell testing positive for coronavirus,1000000,ESPN,11,331,https://www.youtube.com/watch?v=33A8lbmSdPY,6780000,17613,950,first take reacts donovan mitchell testing positive coronavirus
6,Tracing The Origin Of The Coronavirus | NBC News NOW,118000,NBC News,23,328,https://www.youtube.com/watch?v=mNB8zN5CQGc,1980000,1335,155,tracing origin coronavirus nbc news
7,NBA suspends season due to coronavirus | SportsCenter,558000,ESPN,24,292,https://www.youtube.com/watch?v=zNWBz4GCiUo,6780000,6504,229,nba suspends season due coronavirus sportscenter
8,Coronavirus: COVID-19 declared a global pandemic | Nine News Australia,135000,Nine News Australia,24,317,https://www.youtube.com/watch?v=G0vd0LhL_gM,286000,913,107,coronavirus covid declared global pandemic nine news australia
9,Infectious Disease Expert: Half Of America Is Likely To Catch Coronavirus | The 11th Hour | MSNBC,290000,MSNBC,22,200,https://www.youtube.com/watch?v=7ajACc7ul4k,2440000,2095,379,infectious disease expert half america likely catch coronavirus th hour msnbc
10,South Korea Sees Decline In Coronavirus Cases After Mass Testing | NBC News NOW,109000,NBC News,24,242,https://www.youtube.com/watch?v=1T0rVrC73Bs,1980000,1762,49,south korea see decline coronavirus case mass testing nbc news
11,Coronavirus outbreak: Donald Trump suspends travel from Europe to U.S. starting Friday,290000,Global News,24,580,https://www.youtube.com/watch?v=X7KCyRxOoJw,1220000,3357,670,coronavirus outbreak donald trump suspends travel europe u starting friday
12,Coronavirus Test Shortage Raises Alarm As Washington State Bans Mass Gatherings | NBC Nightly News,335000,NBC News,24,860,https://www.youtube.com/watch?v=JLZjUz9ZTn0,1980000,2241,174,coronavirus test shortage raise alarm washington state ban mass gathering nbc nightly news
13,Bill de Blasio - Confronting the Coronavirus Outbreak in New York City | The Daily Show,794000,The Daily Show with Trevor Noah,23,928,https://www.youtube.com/watch?v=aM2DZjsgAlA,6560000,13063,2011,bill de blasio confronting coronavirus outbreak new york city daily show
14,Trump Addresses The Nation On Coronavirus From Oval Office | NBC News (Live Stream Recording),914000,NBC News,24,1045,https://www.youtube.com/watch?v=I09RkjLcFpU,1980000,6006,2478,trump address nation coronavirus oval office nbc news live stream recording
15,Let's talk about Coronavirus,660000,Markiplier,4,430,https://www.youtube.com/watch?v=VwsGzkLu-j0,25100000,150495,1450,let talk coronavirus
16,The 5 Stages of Coronavirus,1400000,Jimmy Kimmel Live,22,697,https://www.youtube.com/watch?v=mD97kJVCOXM,16300000,24321,1421,stage coronavirus
17,Mark Cuban on coronavirus: This is much bigger than basketball | NBA on ESPN,336000,ESPN,22,383,https://www.youtube.com/watch?v=vUB5DST4z-E,6780000,4408,121,mark cuban coronavirus much bigger basketball nba espn
18,"Trump outlines U.S. response to coronavirus outbreak, restricts travel from Europe | ABC News",1200000,ABC News,24,244,https://www.youtube.com/watch?v=qyVX-pu-ZDk,7890000,10346,2427,trump outline u response coronavirus outbreak restricts travel europe abc news
19,Coronavirus Is Our Future | Alanna Shaikh | TEDxSMU,1600000,TEDx Talks,24,1006,https://www.youtube.com/watch?v=Fqw-9yMV0sI,23500000,59633,3723,coronavirus future alanna shaikh tedxsmu
20,Coronavirus: Should the UK quarantine like Italy? - BBC,366000,BBC,24,420,https://www.youtube.com/watch?v=_zlwWDS-DCs,8160000,3524,342,coronavirus uk quarantine like italy bbc
21,Coronavirus Misinformation & Toilet Paper Panic | The Daily Show,1600000,The Daily Show with Trevor Noah,23,372,https://www.youtube.com/watch?v=Ls0ZormAOhU,6560000,43526,817,coronavirus misinformation toilet paper panic daily show
22,Italy on lockdown over coronavirus l ABC News,299000,ABC News,23,379,https://www.youtube.com/watch?v=l5twUq9iPSE,7890000,2118,158,italy lockdown coronavirus l abc news
23,Daily Life Is Changing For Millions Of Americans As Coronavirus Crisis Grows,2100000,The Late Show with Stephen Colbert,22,700,https://www.youtube.com/watch?v=lk0sQEhrY5U,7250000,34421,1138,daily life changing million american coronavirus crisis grows
24,Lawrence And Rachel On The NBA Suspending Their Season Due To Coronavirus | The Last Word | MSNBC,218000,MSNBC,22,481,https://www.youtube.com/watch?v=1rfiwmfttUk,2440000,2942,248,lawrence rachel nba suspending season due coronavirus last word msnbc
25,W.H.O declares coronavirus 'pandemic' - as UK sees highest daily rise in cases,764000,Channel 4 News,24,835,https://www.youtube.com/watch?v=vFaC8hKovlQ,1150000,6000,713,declares coronavirus pandemic uk see highest daily rise case
26,Trump Contradicts Experts as Coronavirus Is Declared a Pandemic: A Closer Look,2100000,Late Night with Seth Meyers,24,944,https://www.youtube.com/watch?v=7rMEA6KN_RU,3500000,34090,1657,trump contradicts expert coronavirus declared pandemic closer look
27,Coronavirus Explained: What does pandemic declaration mean for the world?,127000,Channel 4 News,24,404,https://www.youtube.com/watch?v=XJV3X8zM1bU,1150000,1498,138,coronavirus explained pandemic declaration mean world
28,Coronavirus: Virus cases rise rapidly in Europe and US - BBC News,1100000,BBC News,24,510,https://www.youtube.com/watch?v=DoHOYCbmJoE,6570000,8109,701,coronavirus virus case rise rapidly europe u bbc news
29,Treasury likely to push back tax deadline due to coronavirus,206000,CBS News,24,185,https://www.youtube.com/watch?v=0d0AziuNgi8,2400000,1035,228,treasury likely push back tax deadline due coronavirus
30,What China's Pollution Says About Coronavirus and the Economy | WSJ,216000,Wall Street Journal,24,271,https://www.youtube.com/watch?v=cHSftdHskxs,2029999,3943,164,china pollution say coronavirus economy wsj
31,World Health Organization declares coronavirus a pandemic | ABC News,191000,ABC News,24,167,https://www.youtube.com/watch?v=9mT0zFR9us8,7890000,1847,265,world health organization declares coronavirus pandemic abc news
