,title,view,channel,uploadtime,length,link,subscriber,like,dislike,clean_text
0,Rudy Gobert apologizes for exposing others to coronavirus | SportsCenter,188000,ESPN,8,253,https://www.youtube.com/watch?v=Q2dss9pGShU,6780000,2578,139,rudy gobert apologizes exposing others coronavirus sportscenter
1,Nearly 200 people die in Italy in last 24 hours from coronavirus,181000,ABC News,6,254,https://www.youtube.com/watch?v=cZciLknWNsg,7900000,1890,208,nearly people die italy last hour coronavirus
2,"Trump’s Coronavirus Address, Blooper Reel Included | The Daily Show",524000,The Daily Show with Trevor Noah,5,563,https://www.youtube.com/watch?v=BWO6i8cH8SA,6570000,24681,820,trump coronavirus address blooper reel included daily show
3,Top health official on US response to coronavirus pandemic,169000,ABC News,8,499,https://www.youtube.com/watch?v=9qZehXrLq6g,7900000,1614,186,top health official u response coronavirus pandemic
4,Congress And Trump Admin. Scramble For Coronavirus Aid Deal As Pandemic Causes Panic | Nightly News,241000,NBC News,8,658,https://www.youtube.com/watch?v=X7ERdQYlq8I,1990000,2140,180,congress trump admin scramble coronavirus aid deal pandemic cause panic nightly news
5,Trump Addresses The Nation On Coronavirus From Oval Office | NBC News (Live Stream Recording),970000,NBC News,24,1045,https://www.youtube.com/watch?v=I09RkjLcFpU,1990000,6170,2551,trump address nation coronavirus oval office nbc news live stream recording
6,Tom Hanks and Rita Wilson test positive for coronavirus,494000,CNN,24,529,https://www.youtube.com/watch?v=Wbk8ZrfU3EM,8740000,5054,1011,tom hank rita wilson test positive coronavirus
7,Coronavirus outbreak: Donald Trump suspends travel from Europe to U.S. starting Friday,303000,Global News,24,580,https://www.youtube.com/watch?v=X7KCyRxOoJw,1230000,3470,697,coronavirus outbreak donald trump suspends travel europe u starting friday
8,Tracing The Origin Of The Coronavirus | NBC News NOW,189000,NBC News,24,328,https://www.youtube.com/watch?v=mNB8zN5CQGc,1990000,1732,203,tracing origin coronavirus nbc news
9,"Tom Hanks, Rita Wilson Test Positive For Coronavirus | Rachel Maddow | MSNBC",284000,MSNBC,24,71,https://www.youtube.com/watch?v=CCjBSvrT-SU,2440000,2409,303,tom hank rita wilson test positive coronavirus rachel maddow msnbc
10,Mark Cuban on coronavirus: This is much bigger than basketball | NBA on ESPN,368000,ESPN,24,383,https://www.youtube.com/watch?v=vUB5DST4z-E,6780000,4616,131,mark cuban coronavirus much bigger basketball nba espn
11,Anthony Fauci says novel coronavirus '10 times deadlier than the flu',426000,ABC News,24,256,https://www.youtube.com/watch?v=dM74KiaksgM,7900000,3453,402,anthony fauci say novel coronavirus time deadlier flu
12,South Korea Sees Decline In Coronavirus Cases After Mass Testing | NBC News NOW,136000,NBC News,24,242,https://www.youtube.com/watch?v=1T0rVrC73Bs,1990000,2088,56,south korea see decline coronavirus case mass testing nbc news
13,FULL SPEECH: President Trump address the nation on coronavirus (9 minutes),197000,WPTV News | West Palm Beach Florida,24,571,https://www.youtube.com/watch?v=mii6NydPiqI,136000,2172,586,full speech president trump address nation coronavirus minute
14,Coronavirus Test Shortage Raises Alarm As Washington State Bans Mass Gatherings | NBC Nightly News,346000,NBC News,24,860,https://www.youtube.com/watch?v=JLZjUz9ZTn0,1990000,2270,178,coronavirus test shortage raise alarm washington state ban mass gathering nbc nightly news
15,NBA suspends season due to coronavirus | SportsCenter,577000,ESPN,24,292,https://www.youtube.com/watch?v=zNWBz4GCiUo,6780000,6568,233,nba suspends season due coronavirus sportscenter
16,Mark Cuban reacts to NBA suspending season due to coronavirus | NBA on ESPN,248000,ESPN,24,197,https://www.youtube.com/watch?v=b2-wU42KJ0c,6780000,2920,75,mark cuban reacts nba suspending season due coronavirus nba espn
17,Bill de Blasio - Confronting the Coronavirus Outbreak in New York City | The Daily Show,906000,The Daily Show with Trevor Noah,24,928,https://www.youtube.com/watch?v=aM2DZjsgAlA,6570000,14010,2203,bill de blasio confronting coronavirus outbreak new york city daily show
18,Infectious Disease Expert: Half Of America Is Likely To Catch Coronavirus | The 11th Hour | MSNBC,336000,MSNBC,24,200,https://www.youtube.com/watch?v=7ajACc7ul4k,2440000,2229,401,infectious disease expert half america likely catch coronavirus th hour msnbc
19,First Take reacts to Donovan Mitchell testing positive for coronavirus,12000,ESPN,17,331,https://www.youtube.com/watch?v=33A8lbmSdPY,6780000,21128,1315,first take reacts donovan mitchell testing positive coronavirus
