,title,view,channel,uploadtime,length,link,subscriber,like,dislike
34,Trump declares 'national emergency' for coronavirus,1.4M views,CNN,1 day ago,10:40,https://www.youtube.com/watch?v=OtAQJjN1kcg,8.77M,"8,907","3,023"
35,Trump suspends travel from Europe over coronavirus fears (Entire address to nation),701K views,CNN,3 days ago,9:31,https://www.youtube.com/watch?v=EhP2JMgAwuE,8.77M,"7,074","2,728"
36,"Trump, Who Has Been Exposed To Coronavirus, Tries To Reassure The Public That He's In Control",1.2M views,The Late Show with Stephen Colbert,1 day ago,5:02,https://www.youtube.com/watch?v=6dYS-iyw8vQ,7.26M,"25,425",725
37,Nearly 200 people die in Italy in last 24 hours from coronavirus,919K views,ABC News,2 days ago,4:14,https://www.youtube.com/watch?v=cZciLknWNsg,7.93M,"5,414",565
38,Coronavirus: India issues travel restrictions | DW News,162K views,DW News,1 day ago,7:30,https://www.youtube.com/watch?v=c4cVyqrIhKU,1.08M,"1,015",74
39,"Gatherings and travel cancelled, as Peter Dutton tests positive to coronavirus | ABC News",146K views,ABC News (Australia),1 day ago,5:57,https://www.youtube.com/watch?v=u7vBCfxe5BM,932K,756,179
40,First Take discusses the impact of the coronavirus on the sports world,308K views,ESPN,1 day ago,6:37,https://www.youtube.com/watch?v=5dXjpjrDhvY,6.79M,"2,677",131
41,Coronavirus: Boris Johnson holds press conference after Cobra meeting – watch in full,260K views,Guardian News,Streamed 2 days ago,1:10:58,https://www.youtube.com/watch?v=xRadMzCKnCU,857K,"1,132",541
42,Trump suspends travel from Europe to battle coronavirus,570K views,Los Angeles Times,3 days ago,9:41,https://www.youtube.com/watch?v=KYVy_0yUSXM,276K,"7,950","1,417"
43,UK moves from contain to delay in battle against coronavirus,321K views,Channel 4 News,2 days ago,23:48,https://www.youtube.com/watch?v=HZqnccEI9oc,1.17M,"1,677",316
44,Coronavirus: contain and delay phases Explained - BBC News,441K views,BBC News,1 day ago,8:16,https://www.youtube.com/watch?v=bvQW8YkBVhQ,6.6M,"3,211",297
45,State of emergency declared in New York City over coronavirus,1.7M views,ABC News,2 days ago,6:28,https://www.youtube.com/watch?v=T6bjC8R2pUw,7.93M,"16,649","1,462"
46,COVID-19: Tenth patient dies as UK coronavirus cases hit 590,314K views,Sky News,2 days ago,5:33,https://www.youtube.com/watch?v=1xpEt20PPbQ,1.89M,"2,343",208
47,"Donovan Mitchell second NBA player to test positive for coronavirus, per report | CBS Sports HQ",210K views,CBS Sports,2 days ago,7:32,https://www.youtube.com/watch?v=NQ638csGhI8,242K,"1,078",88
48,Americans See Massive Disruptions To Daily Life As Coronavirus Spreads - Day That Was | MSNBC,100K views,MSNBC,1 day ago,5:32,https://www.youtube.com/watch?v=-SV8a9lGGk8,2.45M,"1,273",87
49,"Asians facing discrimination, violence amid coronavirus outbreak",382K views,ABC News,2 days ago,8:01,https://www.youtube.com/watch?v=ljIuWWLHNlA,7.93M,"4,735",868
50,Coronavirus: Can herd immunity protect the population? - BBC Newsnight,118K views,BBC Newsnight,2 days ago,6:27,https://www.youtube.com/watch?v=blkDulsgh3Q,522K,960,234
51,‘I’m surprised we’re not moving sooner’ on coronavirus - Former UK Health Secretary Jeremy Hunt,714K views,Channel 4 News,2 days ago,10:40,https://www.youtube.com/watch?v=3rmMh2pLKAc,1.17M,"6,333",563
52,Living with Coronavirus (COVID-19) Symptoms & Treatments,203K views,Audioholics,2 days ago,13:16,https://www.youtube.com/watch?v=iQ9Su-TO3Sw,109K,"5,349",132
53,President Trump addresses the nation on US response to coronavirus – 3/11/2020,119K views,CNBC Television,Streamed 3 days ago,10:46,https://www.youtube.com/watch?v=EnHo-eYJWg4,448K,"1,153",297
54,WATCH: President Duterte addresses the nation on coronavirus actions | ABS-CBN News,1M views,ABS-CBN News,2 days ago,49:12,https://www.youtube.com/watch?v=Gj_K7vy1qNg,8.56M,"11,141",757
55,Top health official on US response to coronavirus pandemic,275K views,ABC News,2 days ago,8:19,https://www.youtube.com/watch?v=9qZehXrLq6g,7.93M,"2,045",237
56,NBA to consider hiatus due to coronavirus – Woj | SC with Stephen A. Smith,359K views,ESPN,3 days ago,6:26,https://www.youtube.com/watch?v=6l4KEsxOAlM,6.79M,"3,364",101
57,Effects of Coronavirus Panic Reach Far and Wide,835K views,Inside Edition,1 day ago,3:07,https://www.youtube.com/watch?v=9pAcWPZRVSo,7.25M,"16,933",552
58,Coronavirus: Is it too late to stop it? | UpFront,95K views,Al Jazeera English,1 day ago,26:00,https://www.youtube.com/watch?v=rtSJBETsOqM,4.72M,915,153
59,"LIVE: Coronavirus death toll, infections and recoveries",275K views,South China Morning Post,Streamed 2 days ago,7:59:15,https://www.youtube.com/watch?v=1fw5Ldvxc9Y,943K,"1,371",163
60,How fast can coronavirus spread? A statistics professor explains,13K views,syracuse.com,1 day ago,3:19,https://www.youtube.com/watch?v=d7WO24GGYxo,35.1K,101,5
61,Coronavirus outbreak: Joe Biden says U.S. public lacks confidence in Trump's COVID-19 response,108K views,Global News,Streamed 2 days ago,18:49,https://www.youtube.com/watch?v=YLi5QqxdIU4,1.25M,"1,151","1,344"
62,Number Of Coronavirus Positive Cases Rise To 81 | Panchnama | ABP News,311K views,ABP NEWS,1 day ago,8:05,https://www.youtube.com/watch?v=eimTbAW4UnY,19.6M,"2,324",327
63,Trump declares National Emergency over coronavirus,1.7M views,Fox News,Streamed 1 day ago,1:12:37,https://www.youtube.com/watch?v=G6HbxcCb-7g,4.49M,"21,426","1,555"
64,Mark Cuban Reacts To NBA Suspending Season Indefinitely Because Of Coronavirus,741K views,Bleacher Report,3 days ago,3:24,https://www.youtube.com/watch?v=HxaPga-WD1U,1.73M,"5,534",171
65,Metro Manila to be placed on lockdown due to coronavirus outbreak,473K views,Rappler,2 days ago,3:38,https://www.youtube.com/watch?v=buS1sRfJfTw,564K,"2,771",428
66,Former Vice President Joe Biden lays out plan to combat coronavirus | ABC News,67K views,ABC News,2 days ago,4:01,https://www.youtube.com/watch?v=4I1vXnbV9GE,7.93M,856,"1,510"
67,Meanwhile... France Claims Cocaine Will Not Protect You From The Coronavirus,1.5M views,The Late Show with Stephen Colbert,2 days ago,5:29,https://www.youtube.com/watch?v=wE442HjJGRo,7.26M,"24,815","1,431"
68,Coronavirus update: Wednesday 11 March | ITV News,345K views,ITV News,3 days ago,1:18,https://www.youtube.com/watch?v=0ovMBrJmbK8,442K,"2,192",239
69,"Coronavirus Update: Europe Travel Ban, Tom Hanks, NBA Suspends Games - Day That Was | MSNBC",344K views,MSNBC,2 days ago,5:18,https://www.youtube.com/watch?v=UJWkExxcTd0,2.45M,"1,745",859
70,Mark Cuban reacts to NBA suspending season due to coronavirus | NBA on ESPN,314K views,ESPN,3 days ago,3:17,https://www.youtube.com/watch?v=b2-wU42KJ0c,6.79M,"3,036",80
