,title,view,channel,uploadtime,length,link,subscriber,like,dislike
0,Rudy Gobert apologizes for exposing others to coronavirus | SportsCenter,449K views,ESPN,1 day ago,4:13,https://www.youtube.com/watch?v=Q2dss9pGShU,6.78M,"4,084",229
1,Nearly 200 people die in Italy in last 24 hours from coronavirus,759K views,ABC News,1 day ago,4:14,https://www.youtube.com/watch?v=cZciLknWNsg,7.92M,"4,744",490
2,Coronavirus Livestream Coverage: News On The COVID-19 Outbreak | NBC News (Live Stream Recording),425K views,NBC News,Streamed 1 day ago,2:07:00,https://www.youtube.com/watch?v=yI6it13xOGI,2.01M,"2,031",353
3,State of emergency declared in New York City over coronavirus,1.5M views,ABC News,1 day ago,6:28,https://www.youtube.com/watch?v=T6bjC8R2pUw,7.92M,"15,142","1,266"
4,Coronavirus outbreak: Ontario to close public schools; global markets continue tumble,115K views,Global News,1 day ago,12:00,https://www.youtube.com/watch?v=oJbiJ80hsAo,1.24M,699,80
5,Coronavirus: Can herd immunity protect the population? - BBC Newsnight,71K views,BBC Newsnight,1 day ago,6:27,https://www.youtube.com/watch?v=blkDulsgh3Q,521K,715,150
6,Top health official on US response to coronavirus pandemic,263K views,ABC News,1 day ago,8:19,https://www.youtube.com/watch?v=9qZehXrLq6g,7.92M,"1,985",233
7,Living with Coronavirus (COVID-19) Symptoms & Treatments,124K views,Audioholics,1 day ago,13:16,https://www.youtube.com/watch?v=iQ9Su-TO3Sw,108K,"4,015",87
8,Coronavirus controversy: Chinese official suggests US is responsible,64K views,Fox News,8 hours ago,2:44,https://www.youtube.com/watch?v=hZftihVyq9E,4.48M,"1,165",240
9,COVID-19: Tenth patient dies as UK coronavirus cases hit 590,296K views,Sky News,1 day ago,5:33,https://www.youtube.com/watch?v=1xpEt20PPbQ,1.89M,"2,285",200
10,Coronavirus outbreak: Prime Minister Justin Trudeau and wife in self-isolation over COVID-19 concern,216K views,Global News,1 day ago,4:20,https://www.youtube.com/watch?v=Cwl6wIADhS8,1.24M,"1,380",183
11,Coronavirus Disrupts Daily Life As Trump Fails To Calm A Nation On Edge | The 11th Hour | MSNBC,379K views,MSNBC,1 day ago,6:20,https://www.youtube.com/watch?v=i0K4PIVe92I,2.45M,"4,077",449
12,Trump Addresses the Nation on the Coronavirus Pandemic: A Closer Look,2.6M views,Late Night with Seth Meyers,1 day ago,16:36,https://www.youtube.com/watch?v=-SoZcjMWxm8,3.5M,"61,745","1,695"
13,‘I’m surprised we’re not moving sooner’ on coronavirus - Former UK Health Secretary Jeremy Hunt,667K views,Channel 4 News,1 day ago,10:40,https://www.youtube.com/watch?v=3rmMh2pLKAc,1.16M,"6,060",536
14,Congress And Trump Admin. Scramble For Coronavirus Aid Deal As Pandemic Causes Panic | Nightly News,403K views,NBC News,1 day ago,10:58,https://www.youtube.com/watch?v=X7ERdQYlq8I,2.01M,"2,797",292
15,Coronavirus: Drastic measures in US & Europe as cases soar - BBC News,885K views,BBC News,1 day ago,31:12,https://www.youtube.com/watch?v=M53iJduvDSA,6.59M,"6,708",635
16,ER Doctor Explains What To Do If You Start Showing Coronavirus Symptoms | All In | MSNBC,224K views,MSNBC,1 day ago,5:01,https://www.youtube.com/watch?v=unN8leCvHyM,2.45M,"1,783",235
17,"Trump outlines U.S. response to coronavirus outbreak, restricts travel from Europe | ABC News",1.2M views,ABC News,2 days ago,4:04,https://www.youtube.com/watch?v=qyVX-pu-ZDk,7.92M,"10,623","2,501"
18,"LIVE: Coronavirus death toll, infections and recoveries",347K views,South China Morning Post,Streamed 1 day ago,8:03:20,https://www.youtube.com/watch?v=3NTREAc1jTo,938K,"1,720",171
19,"Coronavirus Pandemic Update 35: New Outbreaks & Travel Restrictions, Possible COVID-19 Treatments",428K views,MedCram - Medical Lectures Explained CLEARLY,1 day ago,10:27,https://www.youtube.com/watch?v=vE4_LsftNKM,597K,"8,274",160
20,"Asians facing discrimination, violence amid coronavirus outbreak",255K views,ABC News,1 day ago,8:01,https://www.youtube.com/watch?v=ljIuWWLHNlA,7.92M,"3,045",675
21,'We Had To Move Quickly': Trump Defends New Travel Restrictions For Coronavirus | MSNBC,254K views,MSNBC,1 day ago,2:02,https://www.youtube.com/watch?v=AeJPTWnYZDk,2.45M,"2,325",567
22,Watch President Donald Trump's address to the nation on coronavirus pandemic,195K views,CNBC Television,2 days ago,9:45,https://www.youtube.com/watch?v=xrPZBTNjX_o,446K,"1,806",562
23,Coronavirus Outbreak Worsens In Europe | NBC Nightly News,67K views,NBC News,1 day ago,1:54,https://www.youtube.com/watch?v=hNNGHricxDw,2.01M,321,29
24,Trump suspends travel from Europe over coronavirus fears (Entire address to nation),692K views,CNN,2 days ago,9:31,https://www.youtube.com/watch?v=EhP2JMgAwuE,8.76M,"7,062","2,717"
25,"Coronavirus outbreak: Health official tells Congress that COVID-19 testing ""failing"" in U.S. | FULL",217K views,Global News,Streamed 1 day ago,1:52:10,https://www.youtube.com/watch?v=UyJhx_JAS38,1.24M,"1,377",287
26,FULL SPEECH: President Trump address the nation on coronavirus (9 minutes),279K views,WPTV News | West Palm Beach Florida,2 days ago,9:31,https://www.youtube.com/watch?v=mii6NydPiqI,136K,"2,580",707
27,First Take reacts to Donovan Mitchell testing positive for coronavirus,2.2M views,ESPN,1 day ago,5:31,https://www.youtube.com/watch?v=33A8lbmSdPY,6.78M,"25,395","1,774"
28,"Trump’s Coronavirus Address, Blooper Reel Included | The Daily Show",2.7M views,The Daily Show with Trevor Noah,1 day ago,9:23,https://www.youtube.com/watch?v=BWO6i8cH8SA,6.6M,"61,228","2,406"
29,New York shutting down Broadway and other large events over coronavirus,100K views,CBS News,1 day ago,1:57,https://www.youtube.com/watch?v=VCqTjrEEHq0,2.4M,644,120
30,Coronavirus Expert Dr. Fauci And CDC Head Dr. Redfield Testify Before House | NBC News (Live Stream),539K views,NBC News,Streamed 1 day ago,1:51:32,https://www.youtube.com/watch?v=h34z6hS52YM,2.01M,"3,916",526
31,Bill de Blasio - Confronting the Coronavirus Outbreak in New York City | The Daily Show,1M views,The Daily Show with Trevor Noah,2 days ago,15:28,https://www.youtube.com/watch?v=aM2DZjsgAlA,6.6M,"15,461","2,410"
32,Mark Cuban reacts to NBA suspending season due to coronavirus | NBA on ESPN,300K views,ESPN,2 days ago,3:17,https://www.youtube.com/watch?v=b2-wU42KJ0c,6.78M,"3,018",79
33,"Coronavirus around the world: March 12, 2020",324K views,Global News,1 day ago,3:26,https://www.youtube.com/watch?v=cAJppuDz-Mg,1.24M,"1,585",134
34,"Global National: March 11, 2020 | WHO declares coronavirus a global pandemic",229K views,Global News,2 days ago,22:15,https://www.youtube.com/watch?v=XcARC2mrmcQ,1.24M,"1,095",119
35,"ABC News Prime: Coronavirus, Italy Lockdown, Iraq",228K views,ABC News,Streamed 1 day ago,1:01:31,https://www.youtube.com/watch?v=NF7owuYjnWA,7.92M,"1,304",221
36,Joe Biden Gives Speech On Coronavirus Pandemic | NBC News (Live Stream Recording),339K views,NBC News,Streamed 1 day ago,18:55,https://www.youtube.com/watch?v=kMxokey64pU,2.01M,"4,192","1,911"
37,Mark Cuban Reacts To NBA Suspending Season Indefinitely Because Of Coronavirus,718K views,Bleacher Report,2 days ago,3:24,https://www.youtube.com/watch?v=HxaPga-WD1U,1.73M,"5,507",170
38,Anthony Fauci says novel coronavirus '10 times deadlier than the flu',529K views,ABC News,2 days ago,4:16,https://www.youtube.com/watch?v=dM74KiaksgM,7.92M,"3,931",473
39,Coronavirus update: Wednesday 11 March | ITV News,339K views,ITV News,2 days ago,1:18,https://www.youtube.com/watch?v=0ovMBrJmbK8,440K,"2,185",239
40,"Tom Hanks, Rita Wilson Test Positive For Coronavirus | Rachel Maddow | MSNBC",323K views,MSNBC,2 days ago,1:11,https://www.youtube.com/watch?v=CCjBSvrT-SU,2.45M,"2,631",346
41,Trump proposes economic changes over coronavirus l ABC News,106K views,ABC News,2 days ago,8:41,https://www.youtube.com/watch?v=AOeHMFC8U1c,7.92M,497,239
42,Trump suspends travel from Europe to battle coronavirus,568K views,Los Angeles Times,2 days ago,9:41,https://www.youtube.com/watch?v=KYVy_0yUSXM,276K,"7,951","1,417"
43,Tom Hanks and Rita Wilson test positive for coronavirus,558K views,CNN,2 days ago,8:49,https://www.youtube.com/watch?v=Wbk8ZrfU3EM,8.76M,"5,415","1,103"
44,Coronavirus Pandemic: Everything That Happened Today in The Fight Against COVID-19 | NBC New York,75K views,NBC New York,1 day ago,13:05,https://www.youtube.com/watch?v=1DCeUx4x9yw,109K,330,24
45,"Prime Time With Ravish Kumar, March 12, 2020 | Will Coronavirus Cause A Global Economic Meltdown?",496K views,NDTV,1 day ago,30:28,https://www.youtube.com/watch?v=aZybr-LumYs,7.1M,"18,721",738
46,Coronavirus: PM says 'many more families will lose loved ones',431K views,Sky News,1 day ago,7:49,https://www.youtube.com/watch?v=THsGJuQRHYg,1.89M,"2,876","1,602"
47,President Trump addresses the nation on the coronavirus outbreak in the United States,399K views,ABC News,Streamed 2 days ago,1:00:33,https://www.youtube.com/watch?v=alMlYN0fK7s,7.92M,"2,593",695
48,Trump Contradicts Experts as Coronavirus Is Declared a Pandemic: A Closer Look,2.5M views,Late Night with Seth Meyers,2 days ago,15:44,https://www.youtube.com/watch?v=7rMEA6KN_RU,3.5M,"36,898","1,824"
49,BREAKING: NBA suspends season after Rudy Gobert tests positive for coronavirus | CBS Sports HQ,425K views,CBS Sports,2 days ago,8:04,https://www.youtube.com/watch?v=WfOuA-Rq_4Y,242K,"3,197",206
