,title,view,channel,uploadtime,length,link,subscriber,like,dislike
0,Pres. Trump discusses coronavirus outbreak while meeting with Ireland Prime Minister | ABC News,21K views,ABC News,4 hours ago,3:47,https://www.youtube.com/watch?v=37tGRZgBz6g,7.89M,"1,824",647
1,'We Had To Move Quickly': Trump Defends New Travel Restrictions For Coronavirus | MSNBC,182K views,MSNBC,6 hours ago,2:02,https://www.youtube.com/watch?v=AeJPTWnYZDk,2.44M,"2,124",543
2,Infectious Disease Expert: Half Of America Is Likely To Catch Coronavirus | The 11th Hour | MSNBC,235K views,MSNBC,19 hours ago,3:20,https://www.youtube.com/watch?v=7ajACc7ul4k,2.44M,"1,928",364
3,Anthony Fauci says novel coronavirus '10 times deadlier than the flu',284K views,ABC News,20 hours ago,4:16,https://www.youtube.com/watch?v=dM74KiaksgM,7.89M,"2,738",308
4,First Take reacts to Donovan Mitchell testing positive for coronavirus,678K views,ESPN,7 hours ago,5:31,https://www.youtube.com/watch?v=33A8lbmSdPY,6.78M,"13,676",619
5,"Trump restricts travel to Europe, addresses nation on coronavirus",248K views,ABC News,21 hours ago,11:15,https://www.youtube.com/watch?v=93u3NECBvZM,7.89M,"2,341",367
6,The 5 Stages of Coronavirus,1.1M views,Jimmy Kimmel Live,19 hours ago,11:37,https://www.youtube.com/watch?v=mD97kJVCOXM,16.3M,"22,097","1,275"
7,NBA suspends season due to coronavirus | SportsCenter,548K views,ESPN,21 hours ago,4:52,https://www.youtube.com/watch?v=zNWBz4GCiUo,6.78M,"6,398",227
8,Trump Addresses A Nation On Edge As Local Officials Lead On Coronavirus | The 11th Hour | MSNBC,129K views,MSNBC,19 hours ago,6:47,https://www.youtube.com/watch?v=Sqn1Ab2DsDo,2.44M,"1,358",227
9,Coronavirus Is Our Future | Alanna Shaikh | TEDxSMU,1.3M views,TEDx Talks,1 day ago,16:46,https://www.youtube.com/watch?v=Fqw-9yMV0sI,23.5M,"53,232","3,300"
10,Americans Try To Leave Spain Before Coronavirus Ban: 'I Just Hope To Be Able To Get Home' | NBC News,52K views,NBC News,7 hours ago,1:46,https://www.youtube.com/watch?v=gQMbyvIXYQk,1.98M,487,109
11,Mark Cuban on coronavirus: This is much bigger than basketball | NBA on ESPN,318K views,ESPN,19 hours ago,6:23,https://www.youtube.com/watch?v=vUB5DST4z-E,6.78M,"4,234",105
12,Trump Addresses The Nation On Coronavirus From Oval Office | NBC News (Live Stream Recording),871K views,NBC News,Streamed 22 hours ago,17:25,https://www.youtube.com/watch?v=I09RkjLcFpU,1.98M,"5,816","2,415"
13,Coronavirus: Virus cases rise rapidly in Europe and US - BBC News,1.1M views,BBC News,1 day ago,8:30,https://www.youtube.com/watch?v=DoHOYCbmJoE,6.57M,"8,046",692
14,Treasury likely to push back tax deadline due to coronavirus,201K views,CBS News,1 day ago,3:05,https://www.youtube.com/watch?v=0d0AziuNgi8,2.4M,"1,009",225
15,Trump Contradicts Experts as Coronavirus Is Declared a Pandemic: A Closer Look,1.9M views,Late Night with Seth Meyers,22 hours ago,15:44,https://www.youtube.com/watch?v=7rMEA6KN_RU,3.49M,"33,016","1,586"
16,"Tom Hanks, Rita Wilson test positive for coronavirus",368K views,Fox News,21 hours ago,3:07,https://www.youtube.com/watch?v=XKQhhpc1VFQ,4.47M,"5,019",307
17,Trump proposes economic changes over coronavirus l ABC News,81K views,ABC News,20 hours ago,8:41,https://www.youtube.com/watch?v=AOeHMFC8U1c,7.89M,401,219
18,Coronavirus: Is the UK on the same path as Italy?,361K views,Sky News,2 days ago,2:20,https://www.youtube.com/watch?v=fzbkY9s4Y6s,1.88M,"2,667",223
19,Novel Coronavirus explained l ABC News,289K views,ABC News,2 days ago,2:46,https://www.youtube.com/watch?v=CXOsVXybVJY,7.89M,"2,314",306
20,Coronavirus disease cases in Philippines rise to 33 | ABS-CBN News,187K views,ABS-CBN News,Streamed 2 days ago,34:26,https://www.youtube.com/watch?v=S5w-UO6pSSU,8.52M,"1,153",122
21,WHO declares coronavirus outbreak a pandemic,428K views,Fox News,1 day ago,0:51,https://www.youtube.com/watch?v=d1eEWihvwpQ,4.47M,"3,588",749
22,Coronavirus Causes Disruptions For U.S. Airlines | NBC Nightly News,89K views,NBC News,1 day ago,1:48,https://www.youtube.com/watch?v=xcGUv4thtHA,1.98M,313,37
23,Iran Played Down the Coronavirus. Then Its Officials Got Sick | NYT News,328K views,The New York Times,2 days ago,4:07,https://www.youtube.com/watch?v=lm2UFynetJw,2.54M,"4,744",255
24,Trump insists he doesn't need to be tested for coronavirus,317K views,CBS Evening News,2 days ago,2:04,https://www.youtube.com/watch?v=Wp42TrNYSaU,694K,"1,733",917
25,Coronavirus: Italy in lockdown - BBC News,921K views,BBC News,2 days ago,18:20,https://www.youtube.com/watch?v=_69sOxWU0jo,6.57M,"6,223",448
26,"Tom Hanks, Rita Wilson Test Positive For Coronavirus | Rachel Maddow | MSNBC",224K views,MSNBC,20 hours ago,1:11,https://www.youtube.com/watch?v=CCjBSvrT-SU,2.44M,"2,063",234
27,Coronavirus outbreak: Donald Trump suspends travel from Europe to U.S. starting Friday,276K views,Global News,Streamed 22 hours ago,9:40,https://www.youtube.com/watch?v=X7KCyRxOoJw,1.22M,"3,265",657
28,Coronavirus: UK cases rise to 373 as sixth person dies,297K views,Channel 4 News,2 days ago,17:11,https://www.youtube.com/watch?v=8OvzqRL9EVY,1.15M,"1,583",178
29,"Coronavirus Epidemic Update 34: US Cases Surge, Chloroquine & Zinc Treatment Combo, Italy Lockdown",586K views,MedCram - Medical Lectures Explained CLEARLY,2 days ago,17:29,https://www.youtube.com/watch?v=U7F1cnWup9M,588K,"13,093",256
30,Tracing The Origin Of The Coronavirus | NBC News NOW,82K views,NBC News,19 hours ago,5:28,https://www.youtube.com/watch?v=mNB8zN5CQGc,1.98M,988,119
31,Coronavirus outbreak: B.C. health officials confirm 7 new cases of COVID-19,116K views,Global News,Streamed 23 hours ago,1:10:54,https://www.youtube.com/watch?v=XB8f5gYB8Qk,1.22M,575,144
