,title,view,channel,uploadtime,length,link,subscriber,like,dislike
35,Is Italy’s Massive Coronavirus Quarantine Sign Of Things To Come? | AM Joy | MSNBC,59K views,MSNBC,1 day ago,3:00,https://www.youtube.com/watch?v=8jJJ1TtUQMM,2.42M,"1,377",117
36,Coronavirus: Milan set for lockdown,507K views,Sky News,2 days ago,3:11,https://www.youtube.com/watch?v=Zh3YBVjDXfY,1.86M,"3,241",194
37,Italy's coronavirus outbreak sparks 'a lot of panic,27K views,PBS NewsHour,1 day ago,5:30,https://www.youtube.com/watch?v=e4fJ_F0urwk,1.67M,315,24
38,Full Hogan: 'This Thing Is Escalating So Rapidly' As Coronavirus Spreads | Meet The Press | NBC News,86K views,NBC News,1 day ago,5:12,https://www.youtube.com/watch?v=y0Ge96Q3xR4,1.96M,725,175
39,"At least 234 people have been diagnosed with coronavirus in US, according to CDC | ABC News",751K views,ABC News,2 days ago,4:21,https://www.youtube.com/watch?v=jK7NJEvw7Wc,7.86M,"5,480",564
40,"At least 12 dead, 188 infected in US as coronavirus continues to spread | Nightline",1.4M views,ABC News,3 days ago,8:02,https://www.youtube.com/watch?v=7hB13abLQkE,7.86M,"13,026","1,806"
41,China hotel collapses with quarantined coronavirus patients inside,740K views,ABC News,2 days ago,1:47,https://www.youtube.com/watch?v=0vbplrxtqKE,7.86M,"4,303",664
42,Who will save the world from a coronavirus recession? | Counting the Cost,184K views,Al Jazeera English,1 day ago,25:41:00,https://www.youtube.com/watch?v=OOXf4ni7K7E,4.69M,"1,014",88
43,Italy plans large-scale quarantine in response to coronavirus outbreak,918K views,Fox News,2 days ago,2:31,https://www.youtube.com/watch?v=6iQV02gi7fE,4.44M,"6,007",854
44,21 people aboard Grand Princess cruise ship test positive for coronavirus: Pence | ABC News,71K views,ABC News,3 days ago,1:09,https://www.youtube.com/watch?v=NSAHO-XcJew,7.86M,490,102
45,Doctor shares CDC's latest coronavirus warnings,525K views,CBS This Morning,2 days ago,4:40,https://www.youtube.com/watch?v=0WeSAuoYsOQ,1.23M,"5,693",466
46,A second person in the UK has died from coronavirus,298K views,Sky News,3 days ago,1:56,https://www.youtube.com/watch?v=D3UJwzhXtKM,1.86M,"2,204",281
47,First Coronavirus death in the UK as California declares state emergency,293K views,Channel 4 News,4 days ago,15:24,https://www.youtube.com/watch?v=jeT75kZiHH4,1.13M,"1,984",159
48,Worried about the coronavirus? See this patient's advice,746K views,CNN,2 days ago,5:08,https://www.youtube.com/watch?v=_O0IbLsZ3wA,8.71M,"5,407",940
49,Italy quarantines 16 million over coronavirus,138K views,Al Jazeera English,2 days ago,2:14,https://www.youtube.com/watch?v=gRrjLwzyTLs,4.69M,"1,032",53
50,"ABC News Prime: Coronavirus global spread, Grand Princess cruise ship, Market meltdown",90K views,ABC News,Streamed 11 hours ago,1:25:06,https://www.youtube.com/watch?v=N_mu7TRI9TU,7.86M,"1,193",329
51,Trump Admin Bungling Overshadows Crucial Coronavirus Advice: AP | Rachel Maddow | MSNBC,16K views,MSNBC,3 hours ago,2:57,https://www.youtube.com/watch?v=p7ut_TQ33Rg,2.42M,"1,085","1,078"
52,Corona Virus के बारे में जनता की जानकारी | Q&A | Coronavirus Disease | COVID 19 | Precautions | WHO,127K views,The Lallantop,3 days ago,4:37,https://www.youtube.com/watch?v=DoMTUTuDtGE,12M,"1,589",239
53,The Ingraham Angle Coronavirus Cold Open - SNL,4.3M views,Saturday Night Live,2 days ago,9:21,https://www.youtube.com/watch?v=XezLiezWN0E,9.91M,"50,028","4,141"
54,"Coronavirus: Second British death and more than 100,000 cases worldwide - BBC News",515K views,BBC News,3 days ago,16:17,https://www.youtube.com/watch?v=nETgZwRuJPU,6.53M,"4,234",324
