,title,view,channel,uploadtime,length,link,subscriber,like,dislike
0,Top health official on US response to coronavirus pandemic,5.5K views,ABC News,1 hour ago,8:19,https://www.youtube.com/watch?v=9qZehXrLq6g,7.89M,666,72
1,Pres. Trump discusses coronavirus outbreak while meeting with Ireland Prime Minister | ABC News,216K views,ABC News,7 hours ago,3:47,https://www.youtube.com/watch?v=37tGRZgBz6g,7.89M,"2,207",725
2,Tom Hanks and Rita Wilson test positive for coronavirus,455K views,CNN,23 hours ago,8:49,https://www.youtube.com/watch?v=Wbk8ZrfU3EM,8.74M,"4,854",966
3,Anthony Fauci says novel coronavirus '10 times deadlier than the flu',337K views,ABC News,1 day ago,4:16,https://www.youtube.com/watch?v=dM74KiaksgM,7.89M,"3,107",355
4,"Tom Hanks, Rita Wilson Test Positive For Coronavirus | Rachel Maddow | MSNBC",251K views,MSNBC,1 day ago,1:11,https://www.youtube.com/watch?v=CCjBSvrT-SU,2.44M,"2,218",267
5,First Take reacts to Donovan Mitchell testing positive for coronavirus,1M views,ESPN,11 hours ago,5:31,https://www.youtube.com/watch?v=33A8lbmSdPY,6.78M,"17,613",950
6,Tracing The Origin Of The Coronavirus | NBC News NOW,118K views,NBC News,23 hours ago,5:28,https://www.youtube.com/watch?v=mNB8zN5CQGc,1.98M,"1,335",155
7,NBA suspends season due to coronavirus | SportsCenter,558K views,ESPN,1 day ago,4:52,https://www.youtube.com/watch?v=zNWBz4GCiUo,6.78M,"6,504",229
8,Coronavirus: COVID-19 declared a global pandemic | Nine News Australia,135K views,Nine News Australia,1 day ago,5:17,https://www.youtube.com/watch?v=G0vd0LhL_gM,286K,913,107
9,Infectious Disease Expert: Half Of America Is Likely To Catch Coronavirus | The 11th Hour | MSNBC,290K views,MSNBC,22 hours ago,3:20,https://www.youtube.com/watch?v=7ajACc7ul4k,2.44M,"2,095",379
10,South Korea Sees Decline In Coronavirus Cases After Mass Testing | NBC News NOW,109K views,NBC News,1 day ago,4:02,https://www.youtube.com/watch?v=1T0rVrC73Bs,1.98M,"1,762",49
11,Coronavirus outbreak: Donald Trump suspends travel from Europe to U.S. starting Friday,290K views,Global News,Streamed 1 day ago,9:40,https://www.youtube.com/watch?v=X7KCyRxOoJw,1.22M,"3,357",670
